ὁ,the
ἀναχωρέω,"I return, retire, depart, withdraw"
Σαδδουκαῖος,a Sadducee
μοιχεύω,I commit adultery
χωλός,"lame, deprived of a foot"
μέτρον,"a measure, measuring rod"
ἀλλότριος,"belonging to another person, foreign"
μύρον,"anointing-oil, ointment"
κωφός,"dumb, deaf"
φρόνιμος,"intelligent, prudent"
πετεινόν,a bird
ὄφις,a serpent
ξένος,"new, novel, a foreigner"
ἐλάχιστος,"least, smallest, very little"
κοινός,"common, shared, unclean"
ἀφίσταμαι,"I lead away, seduce, depart, abstain from"
διαλογισμός,"a calculation, reasoning, thought, plotting"
κλάω,I break
ἐπίσταμαι,"I know, understand"
ἄκανθα,a thorn-bush
φύσις,"nature, inherent nature"
ἐντέλλομαι,"I give orders, command"
ἀναγγέλλω,"I announce, make known, report"
γράμμα,"a letter, writings, learning"
νοέω,"I understand, consider"
μερίζω,"I divide, part, share"
ὑπακοή,obedience
ἀμφότεροι,both of two
ὀψία,evening
εὐφραίνω,"I cheer, am glad, make merry"
κληρονομία,an inheritance
οἷος,"of what kind, such as"
ταπεινόω,"I humble, humiliate"
προσδέχομαι,"I expect, welcome, accept"
νήπιος,"an infant, child, unlearned"
κοινόω,"I make unclean, regard as unclean"
ἕκτος,sixth
ἀπειθέω,"I disobey, rebel, am disloyal"
ἅπαξ,"once, once for all"
θερισμός,"reaping, harvest"
ἐλεημοσύνη,"alms-giving, charity"
Τίτος,Titus
τύπτω,"I beat, strike, wound, inflict punishment"
Μάρθα,Martha
παιδεύω,"I discipline, educate, train, chastise"
ἐκπλήσσομαι,"I am thunderstruck, astounded"
καταλαμβάνω,"I seize tight hold of, overtake, comprehend"
καθάπερ,even as
καταντάω,"I come down, arrive at, reach"
καταρτίζω,"I fit together, prepare"
παράδοσις,"an instruction, tradition"
δράκων,a dragon or huge serpent
ἀναλαμβάνω,"I take up, raise"
Φῆστος,Festus
Ναζωραῖος,Nazarene
παιδίσκη,"a female slave, maidservant, maid."
Ἀνδρέας,Andrew
συνεργός,a fellow worker
ἔξωθεν,"from without, outside"
καίω,"I ignite, light, burn"
πρίν,"formerly, before"
ἀναστροφή,"behavior, manner of life"
ἀνά,"and, apiece, by, each, every, in, through"
ἐπιζητέω,"I seek after, desire, search for"
ἐμπαίζω,I mock
ὕψιστος,"highest, most high, the heights"
στηρίζω,"I fix firmly, strengthen"
τρόπος,"way, manner, character"
δαιμονίζομαι,I am demon-possessed
καπνός,smoke
ἄνωθεν,"from above, from the beginning, again"
τίμιος,"of great price, precious, honored"
καταισχύνω,"I shame, disgrace, put to utter confusion"
κλέπτω,I steal
διαλέγομαι,"I converse, address, preach, lecture"
χωρίζω,"I separate, depart"
διαφέρω,"I carry through, differ, surpass, excel"
ἕξ,six
ζύμη,"leaven, ferment"
