ὁ,the
ἀναχωρέω,"I return, retire, depart, withdraw"
Σαδδουκαῖος,a Sadducee
μοιχεύω,I commit adultery
χωλός,"lame, deprived of a foot"
μέτρον,"a measure, measuring rod"
ἀλλότριος,"belonging to another person, foreign"
μύρον,"anointing-oil, ointment"
κωφός,"dumb, deaf"
φρόνιμος,"intelligent, prudent"
πετεινόν,a bird
ὄφις,a serpent
ξένος,"new, novel, a foreigner"
ἐλάχιστος,"least, smallest, very little"
κοινός,"common, shared, unclean"
ἀφίσταμαι,"I lead away, seduce, depart, abstain from"
διαλογισμός,"a calculation, reasoning, thought, plotting"
κλάω,I break
ἐπίσταμαι,"I know, understand"
ἄκανθα,a thorn-bush
φύσις,"nature, inherent nature"
ἐντέλλομαι,"I give orders, command"
ἀναγγέλλω,"I announce, make known, report"
γράμμα,"a letter, writings, learning"
νοέω,"I understand, consider"
μερίζω,"I divide, part, share"
ὑπακοή,obedience
ἀμφότεροι,both of two
ὀψία,evening
εὐφραίνω,"I cheer, am glad, make merry"
κληρονομία,an inheritance
οἷος,"of what kind, such as"
ταπεινόω,"I humble, humiliate"
προσδέχομαι,"I expect, welcome, accept"
νήπιος,"an infant, child, unlearned"
κοινόω,"I make unclean, regard as unclean"
ἕκτος,sixth
ἀπειθέω,"I disobey, rebel, am disloyal"
ἅπαξ,"once, once for all"
θερισμός,"reaping, harvest"
ἐλεημοσύνη,"alms-giving, charity"
Τίτος,Titus
τύπτω,"I beat, strike, wound, inflict punishment"
Μάρθα,Martha
παιδεύω,"I discipline, educate, train, chastise"
ἐκπλήσσομαι,"I am thunderstruck, astounded"
καταλαμβάνω,"I seize tight hold of, overtake, comprehend"
καθάπερ,even as
καταντάω,"I come down, arrive at, reach"
καταρτίζω,"I fit together, prepare"
παράδοσις,"an instruction, tradition"
δράκων,a dragon or huge serpent
ἀναλαμβάνω,"I take up, raise"
Φῆστος,Festus
Ναζωραῖος,Nazarene
παιδίσκη,"a female slave, maidservant, maid."
Ἀνδρέας,Andrew
συνεργός,a fellow worker
ἔξωθεν,"from without, outside"
καίω,"I ignite, light, burn"
πρίν,"formerly, before"
ἀναστροφή,"behavior, manner of life"
ἀνά,"and, apiece, by, each, every, in, through"
ἐπιζητέω,"I seek after, desire, search for"
ἐμπαίζω,I mock
ὕψιστος,"highest, most high, the heights"
στηρίζω,"I fix firmly, strengthen"
τρόπος,"way, manner, character"
δαιμονίζομαι,I am demon-possessed
καπνός,smoke
ἄνωθεν,"from above, from the beginning, again"
τίμιος,"of great price, precious, honored"
καταισχύνω,"I shame, disgrace, put to utter confusion"
κλέπτω,I steal
διαλέγομαι,"I converse, address, preach, lecture"
χωρίζω,"I separate, depart"
διαφέρω,"I carry through, differ, surpass, excel"
ἕξ,six
ζύμη,"leaven, ferment"
δέομαι,"I request, beg"
κατάκειμαι,"I recline, am lying ill"
χοῖρος,swine
βοάω,"I shout, call aloud"
πρόθεσις,"the show-bread, predetermination"
ἄδικος,"unjust, unrighteous"
περισσοτέρως,abundantly
πῶλος,"a colt, young ass"
ψεύδομαι,I lie
πρωΐ,"early in the morning, at dawn"
ἔθος,a custom
ἀναπαύω,"I make to rest, give rest to, rest, take my ease"
μεταβαίνω,"I leave, depart, remove, pass over"
τυγχάνω,"I obtain, I happen, perhaps"
ὑγιαίνω,I am well
ἐξάγω,I lead out
Βαβυλών,Babylon
βουλή,"counsel, deliberate wisdom"
ὅριον,"districts, territory"
πυνθάνομαι,"I ask, inquire"
πόρνη,a prostitute
ἀσκός,a wine-skin
λίαν,"very, very much, exceedingly"
σαλπίζω,I sound a trumpet
Μαγδαληνή,Magdalene
ῥάβδος,"a rod, staff"
δίκτυον,a fishing-net
φιάλη,a shallow and flat bowl
κολλάομαι,"I glue, cleave, keep company with"
Ζεβεδαῖος,Zebedee
βαπτιστής,"the baptizer, the Baptist"
κάλαμος,"a reed, reed-pen"
πληθύνω,"I increase, multiply"
Βηθανία,Bethany
χρυσίον,a golden ornament
γέεννα,Gehenna
Ῥωμαῖος,"Roman, a Roman citizen"
συνέχω,"I press together, confine, compel, am afflicted with"
μωρός,"stupid, foolish"
μάλιστα,"most of all, especially"
ὅραμα,"a spectacle, vision"
πλουτέω,I become rich
προσλαμβάνομαι,"I take to myself, welcome"
φονεύω,I murder
ἀναπίπτω,"I lie down, recline, fall back upon"
σπουδή,"haste, diligence"
λιμός,"a famine, hunger"
αὐλή,"court-yard, fore-court, palace, house"
λυχνία,a lamp-stand
πιάζω,I lay hold of
γόνυ,a knee
ἀλέκτωρ,"a cock, rooster"
ἔσωθεν,"from within, inside"
κράτος,"dominion, strength, power"
βασανίζω,"I torment, torture, buffet"
οἰκοδεσπότης,a head of a household
διάνοια,"understanding, intellect, mind"
τρίς,three times
βῆμα,"the space covered by a step of the foot, a tribunal"
βροντή,thunder
δεῦτε,"come hither, come, hither"
ὀδούς,a tooth
παραιτέομαι,"I make excuse, refuse, reject"
εἰσάγω,"I lead in, bring in"
σπλάγχνον,"bowels, compassion, pity"
σπλαγχνίζομαι,I have pity on
ὁμοθυμαδόν,"with one mind, unanimously"
ἀπαρνέομαι,"I deny, disown, disregard"
κλάδος,a branch
ὑψηλός,"high, lofty"
Βαραββᾶς,Barabbas
πρᾶγμα,"a thing done, a matter"
σπουδάζω,I hasten
πραΰτης,"mildness, gentleness"
καύχημα,a boasting
ἅλυσις,a light chain
γέμω,I am full of
σχίζω,"I rend, divide asunder"
κράβαττος,"a bed, mattress, mat"
ἐμβλέπω,"I look into, look upon"
κατασκευάζω,"I build, prepare, make"
τριάκοντα,thirty
ἄφρων,"senseless, foolish, inconsiderate"
θάπτω,I bury
πρότερος,"former, before"
Θωμᾶς,Thomas
ἐνδείκνυμι,I show forth
Τύρος,Tyre
φυτεύω,I plant
φωτίζω,"I illuminate, bring to light"
λίμνη,a lake
σάλπιγξ,a trumpet
χιτών,"a tunic, garment, undergarment"
τελευτάω,"I end, finish, die"
Ἁνανίας,Ananias
ζῳοποιέω,I make to live
δωρεά,a free gift
ἀνατολή,"rising of the sun, the East"
Ζαχαρίας,Zechariah
καταβολή,"a foundation, depositing, sowing"
συγγενής,"akin, a relative"
ἐάω,"I allow, permit, leave"
θανατόω,"I put to death, subdue"
Σαμάρεια,Samaria
εἴκοσι(ν),twenty
βρῶσις,"eating, food, a meal, rust"
χράομαι,"I use, make use of, deal with"
ἔλαιον,olive oil
μετρέω,"I measure, estimate"
ἐξουθενέω,"I ignore, despise"
ἐπισκέπτομαι,"I look upon, visit, look out, select"
ἀγορά,market-place
καύχησις,"the act of boasting, exultation"
ψευδοπροφήτης,a false prophet
ἔπαινος,"commendation, praise"
χίλιοι,a thousand
ὑγιής,"sound, whole, wholesome"
Ἀγρίππας,Agrippa
μακρός,"long, distant"
ποιμαίνω,"I shepherd, tend"
ζηλόω,"I am jealous, eager for"
κατακαίω,"I burn up, consume entirely"
Γαλιλαῖος,a Galilean
ὑποκάτω,underneath
πηγή,"a fountain, spring, well"
κλῆρος,"a lot, portion"
κακία,"evil, wickedness, malice"
ὑμέτερος,your
ἐλευθερία,"freedom, liberty"
κέρας,a horn
χείρων,worse
νόσος,"a disease, malady"
ἐπιπίπτω,"I fall upon, press upon"
σφόδρα,"exceedingly, greatly"
ἀντιλέγω,"I speak or say in opposition, contradict"
ἀγαλλιάω,"I exult, am full of joy"
ἀπιστία,"unbelief, unfaithfulness, distrust"
εἴδωλον,"an idol, false god"
δόλος,"deceit, guile, treachery"
ἀρχαῖος,"original, primitive, ancient"
διαμερίζω,"I divide up into parts, break up, distribute"
ἐπαισχύνομαι,I am ashamed
κλῆσις,"a calling, summons"
ψεῦδος,a lie
ἅμα,"at the same time, along with"
σύνδουλος,"a fellow servant, colleague"
ἰσχύς,"strength, power"
κἀκεῖ,"and there, and yonder"
βίος,"life, manner of life, livelihood"
ἀκαθαρσία,"uncleanness, impurity"
ἔνατος,ninth
ἐκπίπτω,"I fall out, fall off, fall away, fade away, wither away"
παράγω,"I pass by, depart, pass away"
ὑπόδημα,a sandal
Ἀπολλῶς,Apollos
κἀκεῖθεν,"and thence, and from there"
κοινωνός,"a sharer, partner"
Ἰόππη,Joppa
δάκρυον,a tear
κλητός,"called, summoned"
δικαίωμα,a thing pronounced to be just
σέβομαι,"I reverence, worship"
στρατηγός,"a general, magistrate, captain of the temple"
ἀσέλγεια,"wantonness, lewdness"
ἀσεβής,"impious, ungodly, wicked"
βίβλος,"a written book, roll, or volume"
νεανίσκος,a young man
φείδομαι,"I spare, abstain"
προσκαρτερέω,I persist
ἐμφανίζω,"I make visible, report against, appear before"
ἐπιτελέω,"I complete, accomplish, perfect"
παντοκράτωρ,ruler of the universe
χρηστότης,"goodness, benignity, kindness"
σφάζω,I slay
ἀπολαμβάνω,"I get back, receive back"
ἐντεῦθεν,"hence, from this place, on this side and on that"
οἰκονόμος,a steward
περιστερά,a dove
ποικίλος,"various, of different colors"
ἀναστρέφω,"I overturn, turn upside down, return, (mid. and pass) I conduct myself, live"
πενθέω,"I mourn, lament"
διωγμός,persecution
ἀδύνατος,"incapable, impossible"
ὅρκος,an oath
ὄντως,"really, truly"
ὅδε,"this here, this"
ἀσπασμός,"a greeting, salutation"
ταχέως,"soon, quickly, hastily"
ἀφορίζω,"I rail off, separate, place apart"
ἐξομολογέω,"I consent fully, confess"
πόρνος,a fornicator
ὀνειδίζω,"I reproach, revile, upbraid"
συζητέω,"I seek together, discuss, dispute"
ὑπαντάω,I meet
Ἀχαΐα,Achaia
μέλει,"it is a care, it concerns"
παρεμβολή,"a camp, barracks, army in battle array"
σιωπάω,I keep silence
χωρίον,"a place, piece of land, field"
ξενίζω,"I entertain a stranger, I startle"
ἀγαθοποιέω,I do that which is good
πύλη,"a door, gate"
ἀναφέρω,"I carry up, lead up, offer up"
πατάσσω,I strike
ἔνοχος,"involved in, liable"
τέταρτος,fourth
πλάνη,"a wandering, error"
χρυσός,anything made of gold
δεσπότης,"a lord, master, or prince"
παραλυτικός,afflicted with paralysis
ᾅδης,Hades
κοσμέω,"I put into order, adorn"
ἐκκόπτω,"I cut out, cut off"
ἐπειδή,"when, since"
πλεονεξία,"covetousness, avarice"
θλίβω,"I make narrow, persecute, press hard"
ἐγκαταλείπω,"I abandon, desert"
ἀπολογέομαι,"I give a defense, defend myself"
ἁγιασμός,"sanctification, holiness"
ἀφαιρέω,"I take away, smite off"
κομίζω,"I bring, receive, recover"
ἀπολύτρωσις,"redemption, deliverance"
ἐπιτάσσω,"I give order, command"
μακροθυμέω,"I suffer long, have patience, am forbearing"
ψεύστης,"a liar, deceiver"
χωρέω,"I make room, go, receive"
οἰκονομία,stewardship
μνᾶ,a mina
ὀνομάζω,"I give a name to, mention"
Σολομών,Solomon
νομικός,"about law, one learned in the Law"
ἐντρέπω,"I turn to confusion, put to shame, reverence"
λαμπάς,"a torch, lamp, lantern"
χάριν,on account of
αἵρεσις,"a self-chosen opinion, a sect"
τεῖχος,a wall
προσφορά,"an offering, sacrifice"
οἰκέω,"I inhabit, dwell"
ἀστραπή,"a flash of lightning, brightness, luster"
ἀρχισυνάγωγος,a leader of the synagogue
παρρησιάζομαι,"I speak freely, boldly"
τάξις,"order, position, rank"
δωρεάν,"as a free gift, without payment, freely"
Καϊάφας,Caiaphas
λέων,a lion
φθόνος,"envy, a grudge"
μονογενής,"only, only-begotten, unique"
νῆσος,an island
ἄνω,"up, above, things above, heaven"
ὀργίζομαι,"I irritate, provoke, am angry"
λεπρός,a leper
γεμίζω,"I fill, load"
προπέμπω,"I send forward, accompany"
βόσκω,I feed
κλαυθμός,"weeping, lamentation"
Ἰωνᾶς,Jonah
μεταπέμπομαι,"I send for, summon"
Σιδών,Sidon
κραυγάζω,"I cry aloud, shout"
ἔρις,"contention, strife"
μεστός,full
ἀπαρχή,the first-fruits
ἀνατέλλω,"I make to rise, I rise, shine"
δεῦρο,"come, now, the present"
ἄρσην,male
κλάσμα,a fragment
Φῆλιξ,Felix
Σαούλ,Saul
κρούω,I knock
ἀλείφω,I anoint
εὐάρεστος,"acceptable, well-pleasing"
ἐπέρχομαι,"I approach, overtake, attack"
μαργαρίτης,a pearl
φθείρω,"I corrupt, spoil, destroy"
ὕστερος,later
πλεονάζω,"I abound, increase"
διασκορπίζω,"I scatter, winnow, disperse, waste"
χρηματίζω,"I warn, am publicly called"
ἄμπελος,a vine
καθαιρέω,"I take down, depose, destroy"
Ἀδάμ,Adam
γνώμη,"opinion, counsel, judgment, intention"
ἀποδοκιμάζω,"I reject after testing, I disqualify"
ἕβδομος,seventh
ἐπιδίδωμι,"I hand in, give up, give way"
ἀναγκάζω,"I force, compel"
ἐπιποθέω,"I long for, strain after, desire greatly"
οὐράνιος,heavenly
εὐώνυμος,"on the left-hand side, left"
μεταξύ,"meanwhile, afterwards, between"
ἔσω,"within, inside"
διατρίβω,"I tarry, continue, stay"
τρέφω,"I feed, rear"
κίνδυνος,"danger, peril, risk"
ἄβυσσος,"the abyss, the unfathomable depth"
στάσις,"standing, place, dissension"
στήκω,"I stand fast, persevere"
Σόδομα,Sodom
ἐκδίκησις,"a defense, vengeance, full punishment"
κλίνη,"a couch, bed, mat, bier"
Ἐλισάβετ,Elisabeth
γαστήρ,"the womb, stomach, to be pregnant"
περίχωρος,neighboring
σιγάω,I keep silent
εἰδωλόθυτον,sacrificed to an image
κατάγω,"I lead down, bring down"
ἑξήκοντα,sixty
Ἰσραηλίτης,an Israelite
γωνία,"a corner, a secret place"
ἄζυμος,"unleavened, the paschal feast, uncorrupted"
ταχύ,"quickly, speedily"
κατάπαυσις,"resting, rest"
σελήνη,the moon
πιπράσκω,I sell
ὑστέρημα,"that which is lacking, poverty"
Κηφᾶς,Cephas
στολή,a long robe
καταφρονέω,"I despise, scorn"
θνῄσκω,"I am dying, am dead"
φόνος,"murder, slaughter"
εὐδοκία,"good-will, favor"
φθορά,"corruption, destruction, decay"
Σαμαρίτης,a Samaritan
λαμπρός,"shining, magnificent, bright"
ἀποστρέφω,"I turn away, restore, reject"
ἄνομος,"lawless, sinful, illegal"
ἀργός,"idle, lazy, thoughtless"
εὐνοῦχος,"a eunuch, keeper of the bed-chamber"
ἕλκω,I drag
ῥίπτω,"I throw, cast, toss"
πατρίς,fatherland
ὑπερβολή,"surpassing excellence, exceedingly"
διανοίγω,I open fully
ἐκφέρω,"I bring out, carry out"
ἐπιλανθάνομαι,"I forget, neglect"
κοράσιον,"a girl, little girl"
βεβαιόω,"I confirm, ratify"
πάντως,"entirely, in every way, certainly"
Συρία,Syria
κόπτω,"I cut off, mourn"
στράτευμα,an army
ὀκτώ,eight
ζώνη,"a girdle, belt, purse"
Βηθλέεμ,Bethlehem
μέτωπον,the forehead
κύκλῳ,around
ἀντίκειμαι,"I resist, oppose"
ὀξύς,"sharp, swift, eager"
διαστέλλομαι,"I give a commission, order"
καρποφορέω,I bear fruit
ἀρκέω,"I am sufficient, I suffice, am content, satisfied"
συμβούλιον,"a council, advice"
ξηρός,"dry, withered, dry land"
πρωτότοκος,first-born
μεθερμηνεύω,"I translate, interpret"
δρέπανον,a sickle
ταπεινός,"humble, lowly"
νουθετέω,"I admonish, warn, counsel"
ἀδόκιμος,failing to pass the test
ἐναντίος,"opposite, opposed, contrary, the adversary"
Μᾶρκος,Mark
σχίσμα,"a rent, division"
ἐκφεύγω,"I flee out, away, I escape"
Ἰσκαριώτης,"Iscariot, a man of Kerioth"
συμβαίνω,"I happen, occur"
Μελχισέδεκ,Melchizedek
εἰσφέρω,"I lead into, bring in"
συλλέγω,"I collect, gather"
κατηχέω,I instruct orally
εὐλογητός,"worthy of praise, blessed"
ὅσιος,"holy, pious"
προσκόπτω,I stumble
ἀπιστέω,"I am unfaithful, I disbelieve"
ἴσος,"equal, identical"
ἄμωμος,blameless
αἰνέω,I praise
μνῆμα,"a tomb, monument"
ἀπολογία,a verbal defense
διασῴζω,"I save, bring safely to"
μυριάς,"a myriad, ten thousand"
κάτω,"down, below, lower, under, less"
ἀπεκδέχομαι,"I expect eagerly, wait for eagerly"
λιθάζω,I stone
βοῦς,an ox
κατέναντι,"opposite, in front of"
πραιτώριον,the official residence of the procurator
περιτίθημι,"I put around, bestow"
τάχος,"quickness, speed"
μετέχω,"I participate in, share"
ἔνδυμα,"a garment, raiment"
μεγαλύνω,"I enlarge, magnify, extol"
ζιζάνιον,"spurious wheat, darnel"
ἐκτός,"without, outside, except, the outside, apart from"
κοινωνέω,"I share, communicate, have fellowship with"
προΐστημι,I rule
ἄπειμι,"['I am absent', 'I go away, depart']"
βάθος,"depth, a depth, a deep"
ἡλικία,"age, stature"
ἀποτίθημι,"I lay off or aside, renounce"
προσπίπτω,"I fall down before, beat against"
βέβαιος,"firm, steadfast, enduring"
ὀσφύς,the loins
ἐξαιρέω,"I remove, choose, rescue"
Ῥώμη,Rome
νύμφη,"a bride, daughter-in-law"
συγκαλέω,I call together
ἄφθαρτος,"imperishable, incorruptible"
πορνεύω,"I fornicate, practice idolatry"
θησαυρίζω,"I store up, treasure up, save"
θαρρέω,"I am courageous, of good cheer"
σαπρός,"rotten, useless, corrupt"
τάσσω,"I assign, arrange"
βοηθέω,I come to the rescue of
ὁρίζω,"I define, determine, appoint, decree"
προέρχομαι,"I go before, precede"
Κιλικία,Cilicia
διηγέομαι,"I relate in full, describe"
ἀναγκαῖος,"necessary, essential"
χάραγμα,"sculpture, a stamp, sign"
τεκνίον,a little child
διακόσιοι,two hundred
Σίλας,Silas
κινέω,"I move, stir, excite"
Κορνήλιος,Cornelius
μέντοι,"indeed, yet, however"
Νῶε,Noah
κήρυγμα,"a proclamation, preaching"
ἐνέργεια,"working, activity"
ἐσθής,"clothing, raiment"
ἐνθάδε,"here, in this place"
ἁγνός,"pure, chaste"
ἀποκαθίστημι,"I restore, give back"
καλύπτω,"I veil, hide, conceal, envelop"
βρέφος,"infant, babe"
γογγύζω,"I whisper, murmur, grumble"
ἐπισυνάγω,"I collect, gather together"
συμβιβάζω,"I unite, prove, instruct"
γαμίζω,"I give in marriage, marry"
πνέω,I blow
χρηστός,"useful, gentle, pleasant, kind"
στρατεύομαι,"I wage war, fight"
νότος,"the south wind, the South"
ἀεί,always
συντρίβω,I break by crushing
ζήτησις,"a question, debate, controversy"
ἀφορμή,"an occasion, opportunity"
κυριεύω,"I have authority, rule over"
πονηρία,"wickedness, iniquities"
εὐκοπώτερος,easier
προσμένω,"I remain, persist in"
χαλάω,"I let down, lower"
διατίθεμαι,"I appoint, make"
καθαρισμός,"cleansing, purifying, purification"
ἐπιδείκνυμι,"I show, prove"
προστάσσω,"I instruct, command, appoint"
περιβλέπομαι,"I look around on, survey"
Συμεών,Simeon or Simon
πάλαι,"of old, long ago"
μαστιγόω,"I flog, scourge"
φυσιόω,"I inflate, puff up"
ἰατρός,a physician
σαρκικός,"fleshly, carnal"
ὄπισθεν,"from behind, after"
Ἰεριχώ,Jericho
κτάομαι,"I win, get, buy, possess"
σύνεσις,understanding
λιθοβολέω,"I stone, cast stones at"
ἀποδέχομαι,"I receive, welcome, entertain"
πεντήκοντα,fifty
ἐποικοδομέω,I build upon a foundation
φλόξ,a flame
φρέαρ,"a pit, well"
ἐριθεία,"ambition, rivalry"
πρέπω,"it becomes, is fitting to"
καταπίνω,"I swallow, devour, destroy"
παράβασις,a transgression
ἐγκαλέω,"I bring a charge against, accuse"
πανταχοῦ,everywhere
κλίνω,"I rest, recline, make to yield"
εὔχομαι,"I pray, wish"
ἐνδυναμόω,"I fill with power, strengthen"
συνανάκειμαι,I recline at table with
Ἑβραϊστί,in the Hebrew or Aramaic dialect
φίλημα,a kiss
Στέφανος,Stephen
δηλόω,"I show, make clear, reveal"
βρέχω,"I moisten, rain, send rain"
ᾠδή,"an ode, song"
ἀγέλη,"a flock, herd"
δουλόω,I enslave
ψαλμός,a psalm
ἀτιμάζω,"I disgrace, dishonor"
χεῖλος,"a lip, mouth, shore"
ἐλευθερόω,"I free, set free, liberate"
δόκιμος,"approved, acceptable"
πολεμέω,"I make war, contend"
Βεελζεβούλ,Beelzebul
ἐκζητέω,"I seek out, require"
ὀφειλέτης,"a debtor, sinner"
τάφος,"a tomb, burial-place"
ἡμέτερος,"our, our own"
ἀήρ,air
ταπεινοφροσύνη,humility
ἐμπίπτω,"I fall in, am cast in"
λάμπω,I shine
ἀπάτη,"deceit, deception"
ῥήγνυμι,"I break, break forth"
ἐπιστάτης,"master, teacher"
ἐπίκειμαι,"I lie upon, am insistent"
ἁπλότης,"simplicity, sincerity, purity"
δάκτυλος,a finger
ἀτιμία,"disgrace, dishonor"
ἐνίστημι,"I place in or upon, am at hand, am present, threaten"
φθάνω,"I anticipate, precede, arrive"
ζηλωτής,a zealot
σπεῖρα,a cohort
ἀγωνίζομαι,"I strive, contend"
μοιχαλίς,an adulteress
ἔκστασις,"bewilderment, amazement"
κόκκος,"a kernel, grain"
μνεία,"remembrance, recollection"
ἀπείθεια,"willful unbelief, obstinacy, disobedience"
μεθύω,I am drunk
ἁγνίζω,"I cleanse, purify"
ἀγανακτέω,"I am angry, am incensed"
ἀξιόω,I account or treat as worthy
ἀπολείπω,"I leave, leave behind, desert, am reserved"
ὑποπόδιον,a footstool
ἀφθαρσία,"indestructibility, incorruptibility, immortality"
ἐκλογή,"a choosing out, selecting, choice by God"
ἀνθρώπινος,"belonging to human beings, human"
ἀνάθεμα,"a curse, a cursed thing"
συγχαίρω,I rejoice with
δῶμα,the top of the house
πλατεῖα,a street
ἅλας,salt
πτῶμα,"a carcass, corpse"
ὑπομιμνῄσκω,"I remind, remember"
ἀνταποδίδωμι,I give in return
σκιά,"a shadow, thick darkness, an outline"
φιμόω,"I muzzle, silence"
στοιχεῖον,"a heavenly body, an element"
δοκιμή,"a trial, proof; tried, approved character"
θεῖον,"brimstone, sulfur"
τράχηλος,the neck
φονεύς,a murderer
ἐπίγειος,earthly
θόρυβος,"confused noise, riot, disturbance"
βρυγμός,a grinding or gnashing
καθέζομαι,"I am sitting, sit, am seated"
μεταλαμβάνω,"I share in, partake of"
διαστρέφω,"I pervert, corrupt, oppose"
ἄκαρπος,"unfruitful, barren"
ῥομφαία,"a sword, piercing grief"
Λευί,Levi
ποταπός,of what kind
κρεμάννυμι,"I hang up, suspend"
προσφωνέω,"I call to, summon"
Σιών,Zion
εἰδωλολάτρης,a worshipper of an image
ἀποδημέω,I go into another country
προκόπτω,"I advance, make progress"
ἱνατί,why
καταπέτασμα,"a veil, curtain"
πυρετός,a fever
σκοπέω,"regard attentively, take heed"
ὁμοίωμα,"a likeness, form, similitude"
σπεύδω,"I hasten, desire earnestly"
μάστιξ,"a scourge, lash, sufferings"
ἐγκακέω,"I am faint, am weary"
κατάρα,"a curse, cursing"
Κυρηναῖος,"belonging to Cyrene, a Cyrenaean"
πεντακισχίλιοι,five thousand
ἐπιταγή,"instruction, command, order, authority"
ἔχθρα,"enmity, hostility"
πρόφασις,"a pretext, an excuse"
ἀσέβεια,"impiety, irreverence, wickedness"
βάρβαρος,a foreigner who speaks neither Greek nor Latin
θερμαίνομαι,I warm
ἐξαπατάω,I deceive thoroughly
συναντάω,"I meet, encounter"
λειτουργία,"a charitable gift, public service"
συντέλεια,"a completion, consummation, end"
Ναζαρηνός,of Nazareth
ἀξίως,"worthily, in a manner worthy of"
διάλεκτος,"language, speech"
ζημιόω,"I inflict loss upon, punish"
ἀποτάσσομαι,"I withdraw from, take leave of, renounce, send away"
βασανισμός,"torture, torment"
φαῦλος,"worthless, wicked, base"
ἀναμιμνῄσκω,"I remind, admonish, remember"
ὕψος,"height, heaven"
περισσός,"abundant, greater, vehemently, advantage"
δίς,twice
Κόρινθος,Corinth
ζυγός,"a yoke, heavy burden, pair of scales"
θνητός,mortal
Ναζαρέθ,Nazareth
Ἀλέξανδρος,Alexander
ὡσαννά,hosanna
ἀνυπόκριτος,"unfeigned, without hypocrisy"
πηλός,"clay, mud"
τρώγω,I eat
κραυγή,"a shout, clamor, outcry"
κάμηλος,a camel
διαπεράω,I cross over
σπήλαιον,"a cave, den"
βαρύς,"heavy, weighty, burdensome"
ἐκδέχομαι,"I wait for, expect"
μάγος,"a sorcerer, magician, wizard"
διαφθορά,"destruction, decay, corruption"
ὕπνος,sleep
μετατίθημι,"I transfer, desert, change"
Τρῳάς,Troas
ἀπωθέομαι,"I push or thrust away, reject"
κόλπος,"bosom, bosom of a garment, a bay, gulf"
ὑπόκρισις,"hypocrisy, dissembling"
καθότι,"according as, because"
ὄξος,"vinegar, sour wine"
μεταμέλομαι,I change my mind
πληροφορέω,"I carry out fully, fully convince"
χρῆμα,"money, riches"
ὑπόδειγμα,"a figure, copy, example"
ποιητής,"a doer, performer, poet"
κιβωτός,an ark
σπόρος,seed for sowing
ἐπιβαίνω,"I step on, mount, board"
μέτοχος,"a sharer, partner"
μόσχος,a calf
βαρέω,"I weight, load, burden"
βδέλυγμα,"an abominable thing, an accursed thing"
συμβάλλω,"I ponder, encounter, confer or dispute with"
φορτίον,"a burden, freight"
μεσίτης,"a mediator, go-between"
παιδεία,discipline
σβέννυμι,"I extinguish, suppress"
μέριμνα,"care, worry, anxiety"
ἕνδεκα,eleven
ὑποδείκνυμι,"I show plainly, teach, warn"
Ἀκύλας,Aquila
φορέω,"I carry, wear"
διεγείρω,"I wake out of sleep, I arouse"
λανθάνω,"I am hidden, escape notice"
σινδών,a linen cloth
ἀνόητος,"foolish, thoughtless"
μόλις,"with difficulty, hardly"
σημαίνω,"I signify, indicate"
Ναθαναήλ,Nathanael
εἴπερ,"if indeed, if so"
παρατηρέω,I watch
ὄναρ,a dream
ἐραυνάω,"I search, look into"
ἀπορέω,"I am in difficulties, am at my wits end"
ἐγκεντρίζω,I graft in
σκληρύνω,I harden
κάρφος,"a dry stalk, chip of wood"
χειροποίητος,done or made with hands
ὁμολογία,"a profession, confession"
μάταιος,"vain, unproductive, godless"
πώποτε,"at any time, ever"
κακόω,I treat badly
βάρος,"a weight, burden"
ἀνακλίνω,"I make to recline, I recline at a table"
ἔνι,"there is in, is present"
συντελέω,"I fulfill, accomplish"
Ἡρῳδιάς,Herodias
διερμηνεύω,"I translate, interpret, explain"
πήρα,"a sack, wallet"
ἀλλάσσω,"I change, alter"
φύλλον,a leaf
θαυμαστός,"wonderful, marvelous"
παραδέχομαι,"I receive, accept, acknowledge"
ψυχικός,"animal, natural, sensuous"
νόημα,"a thought, design, the mind"
ἀγών,a contest
περιάγω,"I lead about, go about"
περιζώννυμι,I gird round
συλλαλέω,I talk with
Λύστρα,Lystra
πενθερά,a mother-in-law
ἀναπληρόω,"I fill up, make up, fulfill"
αἰγιαλός,"sea-coast, beach"
κόκκινος,crimson
ἀπειθής,"unbelieving, disobedient"
καταφιλέω,I kiss affectionately
συμφωνέω,I agree with
χειμών,"a tempest, the rainy season"
ἄκρον,"the end, extremity"
κλείς,a key
κόφινος,a large basket
ὀσμή,an odor
λείπω,"I am wanting, am left behind"
ἐμπτύω,I spit upon
βάτος,"['a thorn bush or bramble', 'a bath, a liquid measure between eight and nine gallons']"
ἀποφέρω,"I carry, bear away"
εἰκῇ,"without purpose, in vain"
φιλαδελφία,brotherly love
στενάζω,I groan
παρασκευή,the day before the Sabbath
πλέω,I sail
Ἰκόνιον,Iconium
σωφρονέω,"I am sober-minded, exercise self-control"
πρᾶξις,"an action, deeds, function"
ἐκδικέω,"I give justice over, defend, avenge, vindicate"
μιμητής,an imitator
συνευδοκέω,"I consent, agree, am of one mind with"
αἰσχύνη,shame
στάδιος,one eighth of a Roman mile
θυμίαμα,incense
φθαρτός,"corruptible, perishable"
ἀποκόπτω,"I smite, cut off, emasculate"
δοκός,a beam
ἐπαινέω,"I praise, commend"
πεποίθησις,"confidence, trust"
ὅπλον,"an instrument, arms, weapons"
ἐξαυτῆς,"immediately, instantly"
