καί,"and, even, also, namely"
ἐπορεύετο,"I travel, journey, go"
ἀρχιερεῦσι(ν),"high priest, chief priest"
ἐπαγγελία,a promise
Ἀγρίππα,Agrippa
βάλλει,"I cast, throw, rush, put, place, drop"
σπείρεται,"I sow, spread, scatter"
οἰκονομίαν,stewardship
τοιοῦτοι,"of such a kind, such"
ἔθος,a custom
ἰσχύος,"strength, power"
ἐχαρίσατο,"I show favor to, forgive"
μείνῃ,"I remain, abide"
ἀκροβυστίᾳ,foreskin
ποία,of what sort
δεδεμένον,I bind
μόνῳ,"only, solitary, desolate"
παρακαλοῦμεν,"I summon, entreat, admonish, comfort"
θερισμός,"reaping, harvest"
δικαίους,"just, righteous, impartial"
σώσει,"I save, heal"
ἕτοιμοι,"ready, prepared"
καλῶν,"beautiful, good, worthy"
ἁμαρτάνει,I sin
ἐλάλουν,"I speak, say"
ἀπαρχή,the first-fruits
ὑπήντησε(ν),I meet
ποιοῦν,"I do, make"
εἰκών,"an image, likeness, bust"
ἐποίησας,"I do, make"
σκοτία,darkness
φωναί,"a sound, noise, voice"
καύχησις,"the act of boasting, exultation"
ἀγαθῶν,good
δεσμῶν,"a bond, chain"
παρήγγειλε(ν),"I notify, command, charge"
κρείττονος,"stronger, more excellent"
πέμψω,I send
ἔσχατος,"last, at the last, finally"
ἐσπλαγχνίσθη,I have pity on
μέλλοντος,I am about to
σκανδαλίζει,I cause to stumble
ἐσχίσθη,"I rend, divide asunder"
κηρύσσειν,"I proclaim, herald, preach"
ὀφθαλμοῦ,the eye
γυμνός,"wearing only the under-garment, bare"
ζύμης,"leaven, ferment"
ηὔξανε(ν),"I cause to increase, become greater, grow"
πλάνης,"a wandering, error"
παιδίου,"a little child, an infant"
συναγωγῆς,"an assembly, congregation, synagogue"
προσεύχεσθαι,"I pray, pray for"
ὁρίων,"districts, territory"
ἔχουσαν,"I have, hold, possess"
ῥήματος,a thing spoken
πόλεων,a city
ἀποκτενοῦσι(ν),"I put to death, kill"
ἐχορτάσθησαν,"I feed, satisfy"
μύρου,"anointing-oil, ointment"
ἁγία,"set apart, holy, sacred"
Ναζαρέθ,Nazareth
καρπῶν,"fruit, result, gain"
πονηρῶν,"evil, bad, wicked"
Φῆλιξ,Felix
Ναθαναήλ,Nathanael
ἀκούοντας,"I hear, listen"
κρατήσας,"I lay hold of, obtain"
ἕτεροι,"another, different"
χόρτον,"grass, hay"
ἀζύμων,"unleavened, the paschal feast, uncorrupted"
γάμους,"a marriage, wedding, wedding-feast"
διαλέκτῳ,"language, speech"
δούλου,a male slave
ἀγοραῖς,market-place
τέσσαρα,four
παραπτώματα,"a falling away, sin"
ἐγείρεται,"I wake, arouse, raise up"
ἐργάτας,"a field-laborer, workman"
ἐγνώκαμεν,"I come to know, learn, realize"
συκῆν,a fig-tree
ἦς,"I am, exist"
πρώτην,"first, before"
θηρίῳ,"a wild beast, animal"
χαίροντες,"I rejoice, am glad"
προσεύξασθαι,"I pray, pray for"
ἐπληρώθη,"I fill, fulfill, complete"
ἀνέχεσθε,"I endure, bear with"
πλείονας,"much, many, often"
ἀρθήσεται,"I raise, lift up"
σπουδήν,"haste, diligence"
δούλῳ,a male slave
ἐδοξάσθη,"I glorify, honor, bestow glory on"
ἐμῇ,mine
σχίσμα,"a rent, division"
καθημένους,"I sit, am seated"
οὔσης,"I am, exist"
ἄρχοντα,"a ruler, prince, leader"
εὑρίσκω,I find
λαβοῦσα,"I receive, take"
εἰκῇ,"without purpose, in vain"
παρών,"I am present, am near"
κωλύετε,"I prevent, hinder"
χρόνων,"time, a particular time, season"
ἔνι,"there is in, is present"
χαρίσματα,an undeserved favor
καπνός,smoke
ἀληθινόν,"true, real, genuine"
βούλομαι,"I will, intend, desire"
φυλακῆς,"a watching, guard, prison, imprisonment"
ἐσθίετε,I eat
Γαλιλαίᾳ,Galilee
παρέλθῃ,I pass by
σκηνήν,"a tent, tabernacle"
μένετε,"I remain, abide"
ἔκλασε(ν),I break
ἔλθω,"I come, go"
βρῶμα,food of any kind
φιλήματι,a kiss
διαφθοράν,"destruction, decay, corruption"
σταθείς,"I cause to stand, stand"
ἁγίαν,"set apart, holy, sacred"
ὑπάρχειν,"I am, exist, am in possession"
ὑπέστρεψε(ν),"I turn back, return"
γνῶσιν,"knowledge, doctrine, wisdom"
προσευχῆς,"prayer, a place for prayer"
κλαίοντες,"I weep, weep for, mourn"
ἐπέθηκαν,"I put, place upon, lay on"
ἑστῶτας,"I cause to stand, stand"
Ἐφέσῳ,Ephesus
κύριοι,"lord, Lord, master, sir"
φωνῆσαι,"I crow, shout, summon"
θελήματι,"will, wish, desire"
ἀκάνθας,a thorn-bush
πλοῖα,"a ship, vessel"
ἐπιστολήν,"a letter, dispatch, epistle"
συνῆκαν,"I consider, understand"
γενεᾷ,a generation
προσευχαῖς,"prayer, a place for prayer"
Λάζαρον,"Lazarus, Eliezer"
ὀλίγα,"small, brief, few, soon"
Βαρναβᾷ,Barnabas
γυναιξί(ν),"a woman, wife, my lady"
ἑτέρου,"another, different"
ἀνομίαν,"lawlessness, iniquity"
γνῶτε,"I come to know, learn, realize"
ὄντων,"I am, exist"
οὖσαν,"I am, exist"
διώκεις,"I pursue, persecute"
πλούτου,"riches, wealth"
ἐλθόντος,"I come, go"
ἆραι,"I raise, lift up"
καλέσας,"I call, invite, name"
ἀνάστασις,"a rising again, resurrection"
τυφλόν,blind
μιμηταί,an imitator
χαρᾷ,"joy, gladness"
ῥημάτων,a thing spoken
ἐπέτρεψε(ν),"I allow, permit"
πτῶμα,"a carcass, corpse"
ἐσθίειν,I eat
κοιλίᾳ,"belly, womb, the inner man"
ἐπιστρέψας,I turn back to
Τιμόθεον,Timothy
θλίψεσι(ν),"persecution, affliction, distress"
σαπρόν,"rotten, useless, corrupt"
ὑγιής,"sound, whole, wholesome"
ᾐτήσατο,"I ask, request, beg, petition"
ὑψηλόν,"high, lofty"
τρισί(ν),three
πίω,"I drink, imbibe"
ἐχθροί,"hated, hostile, an enemy"
ἐκδίκησιν,"a defense, vengeance, full punishment"
ὑπάρχοντες,"I am, exist, am in possession"
χήρας,a widow
ἕξει,"I have, hold, possess"
ἐγενήθησαν,"I come into being, am born"
χιτῶνας,"a tunic, garment, undergarment"
ζῶ,I live
λεγόντων,"I say, speak"
τίθησι(ν),"I put, place"
μεῖναι,"I remain, abide"
γράμματα,"a letter, writings, learning"
ἀφιέναι,"I send away, release, remit, forgive, permit"
κήρυγμα,"a proclamation, preaching"
τοιοῦτον,"of such a kind, such"
κλήσεως,"a calling, summons"
βιβλίῳ,a papyrus roll
ἠρώτησε(ν),"I ask, question, request"
ἅλας,salt
ἦρε(ν),"I raise, lift up"
εἴπερ,"if indeed, if so"
ἐδόξαζον,"I glorify, honor, bestow glory on"
πώποτε,"at any time, ever"
ποιμένα,a shepherd
τίνες,"who, which, what"
ἀνάγκη,"necessity, constraint, compulsion"
ἐμός,mine
παρέδωκαν,"I hand over, deliver, betray"
Βηθανίαν,Bethany
χρυσοῦν,golden
ἔγνων,"I come to know, learn, realize"
κληρονόμος,"an heir, inheritor"
καταλιπών,"I leave behind, abandon"
κοινωνοί,"a sharer, partner"
ἀποστόλοις,"an apostle, a messenger, an envoy, a delegate"
δυνατά,"powerful, able, possible"
βιβλίου,a papyrus roll
τοιαύτην,"of such a kind, such"
πιστεύομεν,"I believe, have faith in"
πρώτῃ,"first, before"
γνώμην,"opinion, counsel, judgment, intention"
ἀδελφέ,a brother
ζῶντα,I live
ἀγέλη,"a flock, herd"
ἥξουσι(ν),"I have come, am present"
ἐργάζεσθαι,"I word, trade, do"
ἀνελεῖν,"I take up, abolish, murder"
παρουσία,"presence, a coming, arrival, advent"
ἑτέρα,"another, different"
παραγενόμενοι,"I appear, come, arrive at"
ἐμβλέψας,"I look into, look upon"
πέσῃ,"I fall, fall under"
καλεῖται,"I call, invite, name"
ἐξήγαγε(ν),I lead out
Ἰεσσαί,Jesse
ἑξῆς,"next in order, the next day"
Ἀαρών,Aaron
ὅλῳ,"all, the whole, entire"
ἀφείς,"I send away, release, remit, forgive, permit"
Κορνήλιος,Cornelius
ἔσχε(ν),"I have, hold, possess"
ἐβαπτίσθη,"I dip, submerge, baptize"
θεοί,"God, a god"
πεποίηκε(ν),"I do, make"
λαλήσω,"I speak, say"
ἰσχυρόν,"strong, mighty, powerful"
ἐναντίον,"before, in the presence of, in the eyes of"
ἀνάθεμα,"a curse, a cursed thing"
πωλοῦντας,I sell
ἄρατε,"I raise, lift up"
Τίτου,Titus
σχῶ,"I have, hold, possess"
ἐρωτᾷ,"I ask, question, request"
γεωργοῖς,"a worker of the soil, husbandman, vine-dresser"
σινάπεως,mustard
ἀρνίῳ,a lamb
γνόντες,"I come to know, learn, realize"
ἀπών,"['I am absent', 'I go away, depart']"
φύσει,"nature, inherent nature"
πεποιθώς,"I persuade, urge"
κρίνεται,"I judge, decide, think good"
προσκυνοῦντας,I worship
ἀστέρων,a star
μαχαιρῶν,a sword
αὑτῷ,"himself, herself, itself"
ἤνεγκε(ν),"I carry, bear, bring, lead"
ἐκβάλλω,"I throw, cast, put out, banish, bring forth, produce"
ἀλέκτορα,"a cock, rooster"
καθεξῆς,"in order, just after"
νοεῖτε,"I understand, consider"
πέπεισμαι,"I persuade, urge"
θυσιαστηρίῳ,an altar
ἐρωτήσω,"I ask, question, request"
ζῶσαν,I live
εὐλογίαν,"adulation, praise, blessing"
καθαρισμοῦ,"cleansing, purifying, purification"
τιμῇ,"a price, honor"
δούλων,a male slave
γλωσσῶν,"the tongue, a language, nation"
ἀπέναντι,"over against, opposite, in view of, in the presence of"
δοξάσει,"I glorify, honor, bestow glory on"
ποιούμενος,"I do, make"
ἀριθμόν,"a number, total"
ὑπῆρχε(ν),"I am, exist, am in possession"
ἀδελφάς,a sister
βαπτιστοῦ,"the baptizer, the Baptist"
ἔφαγε(ν),I eat
κρεῖττον,"stronger, more excellent"
ἀκανθῶν,a thorn-bush
κονιορτόν,dust
καθεύδοντας,"I sleep, am sleeping"
διδαχῆς,"teaching, doctrine"
δώσουσι(ν),"I offer, give"
Νικόδημος,Nicodemus
ἀπόδοτε,"I give back, return, sell"
καταλῦσαι,"I break up, overthrow, unharness, find a lodging"
πονηροί,"evil, bad, wicked"
μήγε,not
λογίζεται,"I reckon, count, decide"
βρώματα,food of any kind
ζώνην,"a girdle, belt, purse"
ἀφίεται,"I send away, release, remit, forgive, permit"
πνεύμασι(ν),"wind, breath, spirit"
ἀγαπῶ,I love
σεαυτῷ,of yourself
παρθένον,a virgin
διανοίᾳ,"understanding, intellect, mind"
ἀπεδήμησε(ν),I go into another country
ποσί(ν),the foot
ἐπιγνόντες,"I come to know, discern, recognize"
δέδωκα,"I offer, give"
δείξω,"I point out, show"
θῶ,"I put, place"
λύπην,"pain, grief"
φύσιν,"nature, inherent nature"
ἀγαπῶσι(ν),I love
κἀμοί,"I also, I too"
τέσσαρσι(ν),four
βλασφημοῦντες,"I speak evil against, blaspheme"
γραμματεύς,"a scribe, town-clerk, man of learning"
γέγονα,"I come into being, am born"
εἶδαν,"I see, look upon, experience"
σεαυτοῦ,of yourself
ἀκοή,"hearing, faculty of hearing, ear"
ξύλων,"a staff, cross, anything made of wood"
Φαραώ,Pharaoh
οὖσα,"I am, exist"
μεμαρτύρηκε(ν),"I witness, testify"
λειτουργίας,"a charitable gift, public service"
κρίνεσθαι,"I judge, decide, think good"
δηνάριον,a denarius
ἐνάτην,ninth
Φαρισαίους,a Pharisee
ἀνελήμφθη,"I take up, raise"
μισῶν,"I hate, detest"
πήραν,"a sack, wallet"
περιπατοῦντα,"I walk, conduct my life"
ἐπυνθάνετο,"I ask, inquire"
Ἀγρίππας,Agrippa
στρατιώτας,a soldier
ἐξέστησαν,"I astonish, am astonished"
καυχήσομαι,"I boast, glory"
ἀπωλείας,"destruction, ruin, loss"
πτωχοί,"poor, destitute"
σταύρωσον,I crucify
τελώνης,a collector of taxes
φάγω,I eat
ἁμαρτωλῷ,"sinning, sinful, a sinner"
δοθῆναι,"I offer, give"
ἐσχάτου,"last, at the last, finally"
ἤμεθα,"I am, exist"
ἐπουρανίοις,"heavenly, celestial"
πέτραν,rock
ἱκανοί,"sufficient, worthy, many, much"
ἀγαθέ,good
ἀπώλετο,"I destroy, lose, am perishing"
Ἕλλησι(ν),"a Hellene, a Greek"
ἀποθνῄσκει,"I am dying, am about to die"
παλαιόν,"old, ancient, worn out"
θερίσει,"I reap, gather"
γένους,"offspring, family, race, kind"
ἀνέβλεψε(ν),"I look up, recover my sight"
γράψαι,I write
ἐγενήθητε,"I come into being, am born"
ἐμαρτύρησε(ν),"I witness, testify"
γεωργούς,"a worker of the soil, husbandman, vine-dresser"
ὑποτάσσεται,"I place under, subject to"
δεήσει,"supplication, prayer"
σάλπιγγος,a trumpet
διελογίζοντο,"I reason, debate, consider"
μέλος,"a limb, member"
χόρτος,"grass, hay"
διαθήκην,"a covenant, will, testament"
νύμφην,"a bride, daughter-in-law"
πλευράν,the side of the body
βλέπουσι(ν),"I look, see"
ἐπιθείς,"I put, place upon, lay on"
περισσόν,"abundant, greater, vehemently, advantage"
ἅτινα,"whosoever, whichsoever, whatsoever"
δικαίως,"justly, righteously"
ὑπαρχόντων,"I am, exist, am in possession"
πλήρεις,full
ἀναστήσεται,"I raise up, set up, rise from"
ὑπακούουσι(ν),"I listen, obey"
Ἁλφαίου,Alphaeus
δυσμῶν,"a setting of the sun, the West"
γονεῦσι(ν),a parent
ἀπολύσῃ,"I release, let go, send away, divorce"
προφητεία,prophecy
ψυχῶν,"the soul, life, self"
πίπτει,"I fall, fall under"
εὐλογήσας,I bless
ἐλέους,"pity, mercy"
ἐκβάλῃ,"I throw, cast, put out, banish, bring forth, produce"
εἰσελθόντες,"I go in, come in, enter"
χρυσᾶς,golden
ᾔδειν,"I know, remember"
ἐβαπτίζοντο,"I dip, submerge, baptize"
νεφέλη,a cloud
διακρινόμενος,"I distinguish, discern, doubt, hesitate"
ἐφάπαξ,"once, once for all"
ἀφῆτε,"I send away, release, remit, forgive, permit"
νεφέλην,a cloud
αἰτήσει,"I ask, request, beg, petition"
ἐξερχόμενοι,"I go out, come out"
μνημείῳ,"a tomb, sepulcher"
τινός,"any one, some one"
ψευδοπροφῆται,a false prophet
λαμβάνετε,"I receive, take"
ἀποθνῄσκειν,"I am dying, am about to die"
εἰσελεύσονται,"I go in, come in, enter"
ἀνοίξας,I open
τέλειοι,"perfect, full-grown"
πειράζοντες,"I try, tempt, test"
παρελάβετε,"I take, receive"
κοράσιον,"a girl, little girl"
ἔκβαλε,"I throw, cast, put out, banish, bring forth, produce"
ἐφοβήθη,"I fear, am terrified"
Κιλικίας,Cilicia
μείνατε,"I remain, abide"
ἀκαθάρτου,"unclean, impure"
προσευχῶν,"prayer, a place for prayer"
ἴδῃ,"I see, look upon, experience"
ἀπειθεῖς,"unbelieving, disobedient"
ἐλθοῦσα,"I come, go"
νυμφίου,a bridegroom
ἐπάρας,"I raise, lift up"
ἰδίους,"one's own, private, personal"
μένουσαν,"I remain, abide"
περιβλεψάμενος,"I look around on, survey"
ἑαυτῆς,"himself, herself, itself"
εὐχαριστίας,"thankfulness, gratitude"
Λευί,Levi
ἐφάνη,"I shine, appear, seem"
κοιλίαν,"belly, womb, the inner man"
πιστόν,"trustworthy, faithful, believing"
παιδίσκη,"a female slave, maidservant, maid."
ἁγιασμῷ,"sanctification, holiness"
θερίζων,"I reap, gather"
εὖ,"well, well done"
γεωργοί,"a worker of the soil, husbandman, vine-dresser"
λιμός,"a famine, hunger"
στέφανος,"a crown, garland"
δωρεάν,a free gift
σῷ,"yours, thy, thine"
ὑπάγειν,"I go away, depart"
παιδός,a boy or girl child
χαῖρε,"I rejoice, am glad"
ῥάβδῳ,"a rod, staff"
ἵππος,a horse
ἀδικίᾳ,unrighteousness
ἑβδομήκοντα,seventy
ποταμόν,"a river, torrent"
ὁμοιώματι,"a likeness, form, similitude"
ἦλθαν,"I come, go"
μαχαίρῃ,a sword
ἐπίστασθε,"I know, understand"
ἑορτῆς,"a festival, feast"
προσέταξε(ν),"I instruct, command, appoint"
συνεργοί,a fellow worker
κατηγορεῖν,"I accuse, charge, prosecute"
ᾠκοδόμησε(ν),"I build, build up, edify"
ποιοῦντα,"I do, make"
ἠγάπησας,I love
Ἰουδαίου,Jewish
ἐκείνους,"that, that one there, yonder"
σίτου,"wheat, grain"
μεγάλῳ,"large, great"
Τύρου,Tyre
Φιλίππῳ,Philip
Ἰωάννῃ,John
λευκοῖς,"white, bright"
Κηφᾶς,Cephas
μέλεσι(ν),"a limb, member"
εὑρεῖν,I find
ὑστέρημα,"that which is lacking, poverty"
ποιῇς,"I do, make"
δέσμιον,"one bound, a prisoner"
σταθήσεται,"I cause to stand, stand"
ἐρεῖτε,"I say, speak"
δή,"so, then, indeed, truly"
ἄρτου,"bread, a loaf, food"
δυνάμενος,"I am powerful, am able"
ὅτου,"whosoever, whichsoever, whatsoever"
κρινεῖ,"I judge, decide, think good"
τοιοῦτος,"of such a kind, such"
ἀκοῆς,"hearing, faculty of hearing, ear"
πένθος,"mourning, sorrow"
ἔχοντος,"I have, hold, possess"
πόσους,"how much, how great, how many"
σελήνη,the moon
εὐδόκησα,"I am resolved, well-pleased"
ἠγάπησα,I love
πασῶν,"all, the whole, every kind of"
τοιούτους,"of such a kind, such"
ἴσχυσε(ν),"I am strong, able"
γάμος,"a marriage, wedding, wedding-feast"
πεῖν,"I drink, imbibe"
εὕρῃ,I find
ἐπορεύοντο,"I travel, journey, go"
παρεκάλεσα,"I summon, entreat, admonish, comfort"
γένει,"offspring, family, race, kind"
Ἀσίαν,roughly the western third of Asia Minor
περισσεύειν,"I exceed, am left over"
ἔπαθε(ν),"I am acted upon, suffer"
ἑστῶτες,"I cause to stand, stand"
βλέπω,"I look, see"
ἔσχον,"I have, hold, possess"
πληρωθῶσι(ν),"I fill, fulfill, complete"
ἔρημος,"deserted, desolate, a desert"
χοίρους,swine
μοιχᾶται,I commit adultery
Ναζωραῖος,Nazarene
κλητοῖς,"called, summoned"
ἐξαπέστειλαν,I send forth
ἀστέρες,a star
πηλόν,"clay, mud"
ἐργάζεται,"I word, trade, do"
ἐμβάς,I embark
εἴδετε,"I see, look upon, experience"
ἀπιστίᾳ,"unbelief, unfaithfulness, distrust"
ἀέρα,air
ἀδελφήν,a sister
ἁλιεῖς,a fisherman
ἀκαθάρτῳ,"unclean, impure"
πλειόνων,"much, many, often"
προσηύχετο,"I pray, pray for"
ξύλον,"a staff, cross, anything made of wood"
ἀνεκτότερον,"endurable, tolerable"
λογίζομαι,"I reckon, count, decide"
ζηλοῦτε,"I am jealous, eager for"
ἴδωμεν,"I see, look upon, experience"
ἔφυγε(ν),"I flee, escape, shun"
βλέπομεν,"I look, see"
πιστεύειν,"I believe, have faith in"
καταβάτω,"I go down, come down"
ἐτέλεσε(ν),"I end, accomplish, pay"
ἐπιούσῃ,the next day
πατρίδι,fatherland
ἀφθαρσίαν,"indestructibility, incorruptibility, immortality"
ὁδός,"a way, road, journey"
πληγῶν,"a blow, stripe, wound"
ἐδέξαντο,"I take, receive, accept, welcome"
παρρησίας,"freedom, confidence"
φάγητε,I eat
κατέβησαν,"I go down, come down"
ποίῳ,of what sort
ἀποκαλύψει,"an unveiling, uncovering, revealing"
δοκόν,a beam
φωνήσας,"I crow, shout, summon"
ἐπιλαβόμενοι,"I seize, take hold of"
λύπη,"pain, grief"
ἁμαρτωλούς,"sinning, sinful, a sinner"
ἀρχῇ,"ruler, beginning"
ἐγερθῆναι,"I wake, arouse, raise up"
χρείας,"need, necessity, business"
κράζει,"I cry aloud, shriek"
γεγέννηται,"I beget, bring forth, give birth to"
συγγενεῖς,"akin, a relative"
συκῆ,a fig-tree
δυνήσεται,"I am powerful, am able"
τέλους,"an end, purpose, tax"
ἀπέχεσθαι,"I have in full, am far, it is enough"
καιρούς,"fitting season, opportunity, time"
ἀγῶνα,a contest
κυρίοις,"lord, Lord, master, sir"
κληρονόμοι,"an heir, inheritor"
ἄρας,"I raise, lift up"
λαμβάνοντες,"I receive, take"
ἐννέα,nine
διῆλθον,"I pass through, spread a report"
ἐλευθερίαν,"freedom, liberty"
μεριμνᾶτε,"I am anxious, distracted"
ἡγεμόνος,a governor
διδούς,"I offer, give"
ἀπαγγείλατε,"I report, bring a report, announce"
δικαιώματα,a thing pronounced to be just
εὐδόκησε(ν),"I am resolved, well-pleased"
θησαυρόν,"a treasure, store"
ποιήσουσι(ν),"I do, make"
νοήματα,"a thought, design, the mind"
πεπλήρωται,"I fill, fulfill, complete"
ἀκοῇ,"hearing, faculty of hearing, ear"
κατοικοῦσι(ν),"I dwell in, settle in, inhabit"
καπνοῦ,smoke
ἐξέβαλε(ν),"I throw, cast, put out, banish, bring forth, produce"
ὕδατα,water
γίνου,"I come into being, am born"
οἰκοδεσπότης,a head of a household
ῥήματι,a thing spoken
προσέπεσε(ν),"I fall down before, beat against"
ἐξαίφνης,"suddenly, unexpectedly"
ἐπέθηκε(ν),"I put, place upon, lay on"
ἱεροῦ,a temple
ἀκούσητε,"I hear, listen"
παρελεύσονται,I pass by
ἀκριβῶς,"carefully, exactly, strictly"
ἐμαυτῷ,of myself
Σολομῶνος,Solomon
κόπον,"trouble, toil, labor"
παῖδα,a boy or girl child
αἵ,"who, which, what, that"
στρατιωτῶν,a soldier
ἐπλήσθη,"I fill, am fulfilled"
προσευξάμενοι,"I pray, pray for"
μνᾶς,a mina
νεφέλης,a cloud
ἀναστροφῆς,"behavior, manner of life"
διδάσκαλον,a teacher
διηκόνουν,"I wait at table, serve"
γνώσεσθε,"I come to know, learn, realize"
ἀπίστοις,"unbelieving, incredulous, unchristian, unbeliever"
μενέτω,"I remain, abide"
ἐφανέρωσε(ν),"I make clear, visible, or manifest"
ζώντων,I live
καιροῖς,"fitting season, opportunity, time"
ᾠδήν,"an ode, song"
τρώγων,I eat
χεῖρον,worse
φάγωμεν,I eat
ἄρσεν,male
πλατείας,a street
ἑωράκαμεν,"I see, look upon, experience"
αἰτήσητε,"I ask, request, beg, petition"
προσκαρτεροῦντες,I persist
ὑπάγεις,"I go away, depart"
Ἕλληνας,"a Hellene, a Greek"
κατέστησε(ν),"I set, establish, appoint, conduct"
ἀρχόντων,"a ruler, prince, leader"
χρυσίῳ,a golden ornament
κερδήσω,"I gain, win, avoid loss"
ἐπέστησαν,"I stand by, am urgent, befall one, impend"
ἠγάπα,I love
ἔκραζε(ν),"I cry aloud, shriek"
μένειν,"I remain, abide"
μετανόησον,"I repent, change my mind"
καίπερ,although
γενεαί,a generation
ἀπεσταλμένοι,"I send forth, send, send away, dismiss"
ὅρα,"I see, look upon, experience"
προσευχόμενος,"I pray, pray for"
κλῆρον,"a lot, portion"
Ἀσίᾳ,roughly the western third of Asia Minor
ἀδόκιμοι,failing to pass the test
κρίνατε,"I judge, decide, think good"
ἀναστροφήν,"behavior, manner of life"
ὑπακούετε,"I listen, obey"
προφάσει,"a pretext, an excuse"
ἐμνήσθησαν,"I remember, recall"
πρεσβυτέροις,elder
περιτομῇ,circumcision
ἐπιγνούς,"I come to know, discern, recognize"
λήμψεσθε,"I receive, take"
ἀσθενείᾳ,"want of strength, weakness, illness"
ἐχάρησαν,"I rejoice, am glad"
πραΰτητος,"mildness, gentleness"
δῶμεν,"I offer, give"
ἄρῃ,"I raise, lift up"
ἴσθι,"I am, exist"
φιάλας,a shallow and flat bowl
ἀνάπαυσιν,"rest, cessation from labor, refreshment"
περιπατοῦντες,"I walk, conduct my life"
Βηθσαϊδά,Bethsaida
Βαβυλῶνος,Babylon
ἐθαύμασε(ν),"I wonder, admire"
ἐπιθυμίαν,"desire, eagerness for, inordinate desire, lust"
λαλούντων,"I speak, say"
θεωροῦντες,"I behold, look at, experience"
κωφόν,"dumb, deaf"
τίθημι,"I put, place"
ἐπιταγήν,"instruction, command, order, authority"
οὐρανούς,"the sky, the heaven"
Σαδδουκαῖοι,a Sadducee
οὐθέν,"no one, none, nothing"
ἐμέρισε(ν),"I divide, part, share"
ἐσταυρώθη,I crucify
ἤκουσας,"I hear, listen"
ἐκλογήν,"a choosing out, selecting, choice by God"
εὐνοῦχος,"a eunuch, keeper of the bed-chamber"
χρόνῳ,"time, a particular time, season"
ἐπιλαβόμενος,"I seize, take hold of"
ἐροῦσι(ν),"I say, speak"
ἐπηγγείλατο,"I promise, profess"
ἐκεῖναι,"that, that one there, yonder"
παραλυτικῷ,afflicted with paralysis
τόπους,a place
βοῶντος,"I shout, call aloud"
φύραμα,a mass or lump
μέλλουσαν,I am about to
παρελθεῖν,I pass by
Κύπρον,Cyprus
κρίνειν,"I judge, decide, think good"
ἀροῦσι(ν),"I raise, lift up"
καθαροί,"clean, pure, unstained"
προσκόμματος,a stumbling-block
Ἰόππῃ,Joppa
πράσσειν,"I do, fare, require"
εὐπρόσδεκτος,"well-received, acceptable"
ἀμφότερα,both of two
ἀναβαίνων,"I go up, mount, ascend"
σπόρον,seed for sowing
ἥκει,"I have come, am present"
Ναζαρέτ,Nazareth
ἐκεῖνο,"that, that one there, yonder"
δεδεμένος,I bind
πέτρας,rock
περίλυπος,very sorrowful
καινούς,"fresh, new"
δαιμονίου,"an evil-spirit, demon"
ἀνήχθημεν,"I lead up, put to sea, set sail"
ὑποδήματα,a sandal
λεγομένοις,"I say, speak"
εἰσέλθῃς,"I go in, come in, enter"
κράξας,"I cry aloud, shriek"
νεώτερος,"young, new, fresh"
μετώπων,the forehead
ἐπορεύθησαν,"I travel, journey, go"
εὐχαριστίαν,"thankfulness, gratitude"
ζωῇ,life
ἀποστείλαντα,"I send forth, send, send away, dismiss"
ἡλικίαν,"age, stature"
ὑποστρέφειν,"I turn back, return"
μάθετε,"I learn, ascertain"
σόν,"yours, thy, thine"
τείχους,a wall
ἀχθῆναι,I lead
νεφελῶν,a cloud
ἀπώλεια,"destruction, ruin, loss"
μυστήρια,"anything hidden, a mystery"
πολλή,"much, many, often"
ἐτελεύτησε(ν),"I end, finish, die"
οὐδέπω,"not yet, never before"
προείρηκα,I forewarn
πλείονες,"much, many, often"
ποιήσομεν,"I do, make"
εἴρηκα,"I say, speak"
ποτηρίου,a drinking cup
αἰώνιος,"eternal, unending"
κείμενον,"I lie, recline, am laid"
ὡμολόγησε(ν),"I confess, profess, acknowledge, praise"
πορεύθητι,"I travel, journey, go"
κατέφαγε(ν),I eat till it is finished
σωτήρ,"a savior, deliverer, preserver"
Βενιαμίν,Benjamin
ζυγόν,"a yoke, heavy burden, pair of scales"
ἀκούεις,"I hear, listen"
διάνοιαν,"understanding, intellect, mind"
λεπροί,a leper
ὕπνου,sleep
παραγγείλας,"I notify, command, charge"
ἐτόλμα,"I dare, endure, am bold"
γαμήσῃ,I marry
ἑτέρᾳ,"another, different"
ὕψωσε(ν),"I lift up, exalt"
εἰσπορευόμενοι,"I journey into, go into"
μεγάλοι,"large, great"
ἐκχυννόμενον,"I pour out, shed"
ἀσπασμός,"a greeting, salutation"
πιστεύοντι,"I believe, have faith in"
περισσῶς,"greatly, exceedingly"
λέγουσαι,"I say, speak"
ἀποθέμενοι,"I lay off or aside, renounce"
χρηστός,"useful, gentle, pleasant, kind"
γεγονέναι,"I come into being, am born"
Αἰγύπτῳ,Egypt
ἀναγκαῖον,"necessary, essential"
καλεῖ,"I call, invite, name"
βληθῆναι,"I cast, throw, rush, put, place, drop"
οἰκοδομοῦντες,"I build, build up, edify"
βρῶσιν,"eating, food, a meal, rust"
ἔχον,"I have, hold, possess"
ἀνόητοι,"foolish, thoughtless"
ἔδοξε(ν),"I think, seem, appear, it seems"
ἤρχοντο,"I come, go"
παθήμασι(ν),"suffering, passion"
ἡγεμόνι,a governor
