καί,"and, even, also, namely"
προφήτας,"a prophet, poet"
ἀγαπᾶτε,I love
ὄντος,"I am, exist"
συναγωγαῖς,"an assembly, congregation, synagogue"
Πέτρῳ,Peter
ἕτερος,"another, different"
πέμψας,I send
ἀνέστη,"I raise up, set up, rise from"
περιτομῆς,circumcision
ἠκολούθει,"I accompany, attend, follow"
πορευθέντες,"I travel, journey, go"
ἥψατο,"I kindle, light"
ἀπήγγειλαν,"I report, bring a report, announce"
λαβόντες,"I receive, take"
τόπῳ,a place
ἐτῶν,a year
ὅθεν,"whence, wherefore"
ψυχάς,"the soul, life, self"
ὀφθαλμοί,the eye
δαιμόνιον,"an evil-spirit, demon"
ἀφέντες,"I send away, release, remit, forgive, permit"
προσῆλθον,"I come near, consent to"
διδάσκαλος,a teacher
τυφλός,blind
ἔχουσα,"I have, hold, possess"
λοιποί,"left, left behind, the remainder"
διάκονος,"a waiter, servant, administrator"
ἐποίησαν,"I do, make"
μηδείς,"no one, nothing"
μαρτυρία,"witness, evidence, testimony"
γυναῖκες,"a woman, wife, my lady"
φόβον,"fear, terror, reverence"
βασιλέα,"a king, ruler, emperor"
υἱῷ,"a son, descendent"
θανάτῳ,death
κρίσιν,"judging, divine judgment"
κρίσεως,"judging, divine judgment"
γλώσσαις,"the tongue, a language, nation"
ἤμην,"I am, exist"
εἶτα,"then, thereafter, next"
ὑπάρχων,"I am, exist, am in possession"
ῥαββί,"Rabbi, my master, teacher"
ἐκέλευσε(ν),"I command, order"
πορεύου,"I travel, journey, go"
φυλακήν,"a watching, guard, prison, imprisonment"
ἀκούοντες,"I hear, listen"
ἄφες,"I send away, release, remit, forgive, permit"
θελήματος,"will, wish, desire"
δότε,"I offer, give"
ἐφοβήθησαν,"I fear, am terrified"
χαράν,"joy, gladness"
κεφαλῆς,the head
ἐπετίμησε(ν),"I rebuke, chide, admonish, warn"
Φίλιππος,Philip
χώραν,"region, land, fields"
τυφλοί,blind
ἐγένοντο,"I come into being, am born"
σάββατον,"the Sabbath, a week"
τινας,"any one, some one"
ἀγαπῶν,I love
ἐπίστευσε(ν),"I believe, have faith in"
ᾔδει,"I know, remember"
ὀργῆς,"anger, wrath, passion"
διάβολος,"slanderous, the Slanderer, the Devil"
ἱεροῦ,"sacred, holy"
ἤγγικε(ν),"I come near, approach"
Ἱεροσολύμοις,Jerusalem
προσεύχεσθε,"I pray, pray for"
πώς,how
πιστεύουσι(ν),"I believe, have faith in"
σκότος,darkness
ἀλήθεια,truth
αἰωνίου,"eternal, unending"
ἥλιος,"the sun, sunlight"
μῆνας,a month; certainly
αἷς,"who, which, what, that"
ζῶντος,I live
δικαιοσύνῃ,"justice, justness, righteousness"
υἱούς,"a son, descendent"
ἀδελφῷ,a brother
αὔριον,tomorrow
ἤθελε(ν),"I will, wish, desire"
ἀγγέλου,"an angel, messenger"
γονεῖς,a parent
ὅλῃ,"all, the whole, entire"
ἀκούει,"I hear, listen"
πλοίῳ,"a ship, vessel"
τινά,"any one, some one"
γράψον,I write
ἐμαυτοῦ,of myself
ὑπάγετε,"I go away, depart"
εἴπατε,"I say, speak"
θύραν,"a door, opportunity"
πατέρων,"father, Father, ancestor"
μακρόθεν,from a distance
σοφίαν,wisdom
νεκροί,"dead, a corpse"
ὑπάγω,"I go away, depart"
σωτῆρος,"a savior, deliverer, preserver"
παρρησίᾳ,"freedom, confidence"
ἀποστόλους,"an apostle, a messenger, an envoy, a delegate"
ἅπαξ,"once, once for all"
σοφίᾳ,wisdom
ποιεῖς,"I do, make"
Σατανᾶ,"an adversary, Satan"
ναόν,"a temple, shrine"
ἔρημον,"deserted, desolate, a desert"
εὑρέθη,I find
ὀψίας,evening
ἄνωθεν,"from above, from the beginning, again"
θυγάτηρ,a daughter
πολλῆς,"much, many, often"
ἤγαγον,I lead
Ἡρῴδου,Herod
τρίτῃ,third
δύναμις,"might, power, marvelous works"
ἐχθρούς,"hated, hostile, an enemy"
ἀνά,"and, apiece, by, each, every, in, through"
ἐμήν,mine
ἐδίδασκε(ν),I teach
κεφαλάς,the head
χείρ,a hand
ἐφώνησε(ν),"I crow, shout, summon"
ἐκάθισε(ν),"I set, make to sit"
λοιπόν,"left, left behind, the remainder"
παιδία,"a little child, an infant"
πλούσιος,rich
ἐπιθυμίας,"desire, eagerness for, inordinate desire, lust"
φωτός,"light, a source of light"
ἀδικίας,unrighteousness
Ἰακώβου,James
ἔφαγον,I eat
ἐλπίδος,"hope, expectation"
κηρύσσων,"I proclaim, herald, preach"
ἐποίει,"I do, make"
πλοῦτος,"riches, wealth"
νυκτί,"the night, night-time"
ἀποθάνῃ,"I am dying, am about to die"
δυνατός,"powerful, able, possible"
κατέβη,"I go down, come down"
ἔργοις,"work, labor, action, deed"
ἔγειρε,"I wake, arouse, raise up"
ἅγιος,"set apart, holy, sacred"
ὀλίγον,"small, brief, few, soon"
πονηρά,"evil, bad, wicked"
Ἰουδαῖος,Jewish
γράφω,I write
σῶσαι,"I save, heal"
σωθήσεται,"I save, heal"
καθάπερ,even as
πεσών,"I fall, fall under"
ἐντολή,"an ordinance, injunction, command"
τίνος,"who, which, what"
δέδωκε(ν),"I offer, give"
σαββάτου,"the Sabbath, a week"
ἐξουσία,"power, authority, weight"
πρίν,"formerly, before"
ἐλάβετε,"I receive, take"
ἀκούων,"I hear, listen"
οὖς,the ear
κώμην,a village
σάββασι(ν),"the Sabbath, a week"
Ἰούδα,"Judah, Judas, Jude"
διδάσκειν,I teach
ὄψεσθε,"I see, look upon, experience"
πρώτη,"first, before"
γῇ,"the earth, soil, land"
ἐθεράπευσε(ν),"I care for, attend, serve, heal"
ὑποκριταί,"a hypocrite, dissembler"
ἐγερθείς,"I wake, arouse, raise up"
ἔξωθεν,"from without, outside"
ζῇ,I live
ἁμαρτωλῶν,"sinning, sinful, a sinner"
διαβόλου,"slanderous, the Slanderer, the Devil"
θέλων,"I will, wish, desire"
ἕκαστον,"each, every one"
ὁμοία,"like, similar to"
μέγαν,"large, great"
φοβοῦ,"I fear, am terrified"
ἔσομαι,"I am, exist"
ἀλλήλοις,one another
δεξιᾷ,"on the right hand, right hand, right"
ὕδατι,water
διδαχῇ,"teaching, doctrine"
ἀπέστειλαν,"I send forth, send, send away, dismiss"
ἕξ,six
εὑρίσκει,I find
εἴη,"I am, exist"
οἴκου,"a house, household"
θεωρεῖτε,"I behold, look at, experience"
ἀπέθανον,"I am dying, am about to die"
ἄφεσιν,"deliverance, pardon, complete forgiveness"
ῥηθέν,"I say, speak"
κλέπτης,a thief
ἦραν,"I raise, lift up"
ἁμαρτωλοί,"sinning, sinful, a sinner"
πόλεις,a city
ἀνάστασιν,"a rising again, resurrection"
Τιμόθεος,Timothy
πλοίου,"a ship, vessel"
σκότους,darkness
Αἴγυπτον,Egypt
ἐγενήθη,"I come into being, am born"
πονηρόν,"evil, bad, wicked"
λεγόμενος,"I say, speak"
ποιοῦσι(ν),"I do, make"
αὐτάς,"he, she, it, they, them, same"
βλέποντες,"I look, see"
τρίς,three times
συναγωγῇ,"an assembly, congregation, synagogue"
ἄλλους,"other, another, different"
πονηροῦ,"evil, bad, wicked"
ἀγαπᾷ,I love
ποίᾳ,of what sort
ἐκεῖνον,"that, that one there, yonder"
σοφία,wisdom
περισσοτέρως,abundantly
βλέπων,"I look, see"
εἰσῆλθον,"I go in, come in, enter"
ἐξουσίας,"power, authority, weight"
μετάνοιαν,"repentance, a change of mind"
γνώσεως,"knowledge, doctrine, wisdom"
πῶλον,"a colt, young ass"
ἔσεσθε,"I am, exist"
φόβος,"fear, terror, reverence"
οὐρανός,"the sky, the heaven"
ὄρους,a mountain
ὄχλῳ,a crowd
ἔστω,"I am, exist"
ἰδίᾳ,"one's own, private, personal"
ἄλλο,"other, another, different"
φοβεῖσθε,"I fear, am terrified"
πρεσβυτέρους,elder
προφήτην,"a prophet, poet"
ἐπλήσθησαν,"I fill, am fulfilled"
ἔσωθεν,"from within, inside"
συναγωγήν,"an assembly, congregation, synagogue"
ὑδάτων,water
μέρους,"a part, portion"
ζῆν,I live
γνούς,"I come to know, learn, realize"
σοφίας,wisdom
ἀφεθήσεται,"I send away, release, remit, forgive, permit"
σκεῦος,"a vessel to contain liquid, utensil, tackle"
ἀκολούθει,"I accompany, attend, follow"
ναοῦ,"a temple, shrine"
παραβολαῖς,"a parable, comparison"
πατέρας,"father, Father, ancestor"
Καίσαρος,Caesar
δεύτερος,"second, in the second place, for the second time"
ἔπεσαν,"I fall, fall under"
ἁγίους,"set apart, holy, sacred"
γινώσκει,"I come to know, learn, realize"
ἴδητε,"I see, look upon, experience"
δεῦτε,"come hither, come, hither"
ἡλίου,"the sun, sunlight"
εὐαγγελίῳ,"the good news, the gospel"
λίαν,"very, very much, exceedingly"
θαλάσσῃ,"the sea, lake"
ἄλλη,"other, another, different"
μάχαιραν,a sword
ἠγάπησε(ν),I love
μάλιστα,"most of all, especially"
Πέτρου,Peter
ἐγενόμην,"I come into being, am born"
πρωΐ,"early in the morning, at dawn"
μητρός,a mother
δικαιοσύνη,"justice, justness, righteousness"
παρακλήσεως,"exhortation, entreaty, encouragement, comfort"
σταυροῦ,a cross
ἐλπίδι,"hope, expectation"
παθεῖν,"I am acted upon, suffer"
καταβάς,"I go down, come down"
ἐμή,mine
ψυχῆς,"the soul, life, self"
εἰπέ,"I say, speak"
ἁμαρτίαι,a sin
προσεκύνησαν,I worship
πορνείας,"fornication, idolatry"
ἔχῃ,"I have, hold, possess"
περισσότερον,"greater, more"
ὀφείλει,"I owe, ought"
Ἰορδάνου,the Jordan
ὄρει,a mountain
ἀμπελῶνα,a vineyard
δέδωκας,"I offer, give"
Ἀντιόχειαν,Antioch
προσέχετε,"I pay attention to, devote myself to"
ὑπομονήν,"endurance, steadfastness"
ὦσι(ν),"I am, exist"
ἀσπάζεται,"I greet, salute, pay my respects to"
γενεά,a generation
καινήν,"fresh, new"
καλούμενον,"I call, invite, name"
καλήν,"beautiful, good, worthy"
σφόδρα,"exceedingly, greatly"
πρῶτοι,"first, before"
καθήμενον,"I sit, am seated"
ὅμοιος,"like, similar to"
παραγενόμενος,"I appear, come, arrive at"
τέρατα,"a wonder, portent"
πολλάς,"much, many, often"
βασιλέων,"a king, ruler, emperor"
ἤμελλε(ν),I am about to
ὑπάγει,"I go away, depart"
ἐλάλησαν,"I speak, say"
πειρασμόν,"trial, testing, temptation"
τριάκοντα,thirty
ἱερεῖς,a priest
δαιμονίων,"an evil-spirit, demon"
εἰδέναι,"I know, remember"
πλήρωμα,"fullness, fulfillment, completion"
Ζεβεδαίου,Zebedee
ἰδίου,"one's own, private, personal"
σαββάτων,"the Sabbath, a week"
λελάληκα,"I speak, say"
ὄχλοις,a crowd
οἰκοδομήν,"the act of building, a building, edification"
χαίρετε,"I rejoice, am glad"
ἀγαθά,good
ἔχητε,"I have, hold, possess"
πνευμάτων,"wind, breath, spirit"
γυναῖκας,"a woman, wife, my lady"
τεσσάρων,four
κεφαλή,the head
ἔθηκε(ν),"I put, place"
δίδωσι(ν),"I offer, give"
Μαγδαληνή,Magdalene
ἑτέρῳ,"another, different"
πόσῳ,"how much, how great, how many"
ἐφανερώθη,"I make clear, visible, or manifest"
μητρί,a mother
σπείρων,"I sow, spread, scatter"
ὄντας,"I am, exist"
εἴπωμεν,"I say, speak"
ἀπολῦσαι,"I release, let go, send away, divorce"
τέσσαρες,four
ἐλέησον,"I have pity, show mercy"
δούς,"I offer, give"
γυναικῶν,"a woman, wife, my lady"
κληθήσεται,"I call, invite, name"
γίνεσθαι,"I come into being, am born"
θυσιαστηρίου,an altar
ὁμοθυμαδόν,"with one mind, unanimously"
ποιήσατε,"I do, make"
ὀφθαλμῶν,the eye
ἀπελθεῖν,"I come or go away from, depart, return"
θυσίαν,a sacrifice
πετεινά,a bird
ἐμόν,mine
ἱερεύς,a priest
ἀγαπητός,"loved, beloved"
ἐκάθητο,"I sit, am seated"
Ἰάκωβος,James
Ἱεροσολύμων,Jerusalem
ταύταις,"this, he, she, it"
ἔρχου,"I come, go"
ὑποκάτω,underneath
τροφῆς,"food, nourishment"
μέρη,"a part, portion"
στόματι,"the mouth, speech"
Μακεδονίαν,Macedonia
ζῶν,I live
εἴκοσι(ν),twenty
ἐδύνατο,"I am powerful, am able"
ἐρρέθη,"I say, speak"
τρόπον,"way, manner, character"
εὑρών,I find
τινι,"any one, some one"
ἀγαπήσεις,I love
υἱέ,"a son, descendent"
ἆρον,"I raise, lift up"
λεγόμενον,"I say, speak"
ἑστώς,"I cause to stand, stand"
προφητείας,prophecy
θλῖψιν,"persecution, affliction, distress"
ἐντεῦθεν,"hence, from this place, on this side and on that"
ἱκανός,"sufficient, worthy, many, much"
γνωστόν,"known, an acquaintance"
προφήταις,"a prophet, poet"
ἐπορεύθη,"I travel, journey, go"
ἐποίησα,"I do, make"
ὑπέστρεψαν,"I turn back, return"
ἄρτος,"bread, a loaf, food"
συμφέρει,"I collect, am profitable to"
Ἠσαΐας,Isaiah
παρρησίαν,"freedom, confidence"
ἐπηρώτα,"I interrogate, question, demand of"
ἐπίγνωσιν,"knowledge, discernment, recognition"
τύπον,"a figure, model, type"
τριῶν,three
θυμοῦ,"an outburst of passion, wrath"
σκοτίᾳ,darkness
ἐκβάλλει,"I throw, cast, put out, banish, bring forth, produce"
μνημείου,"a tomb, sepulcher"
αὐτή,"he, she, it, they, them, same"
ἐπειδή,"when, since"
ἀκούσατε,"I hear, listen"
βλέπει,"I look, see"
μού,I
ἐσθίων,I eat
εἰκόνα,"an image, likeness, bust"
λίθῳ,a stone
κἀκεῖ,"and there, and yonder"
ἐπιθυμίαις,"desire, eagerness for, inordinate desire, lust"
μετανοίας,"repentance, a change of mind"
πλήρης,full
δεύτερον,"second, in the second place, for the second time"
ἐλπίζω,"I hope, hope for, expect"
καρπούς,"fruit, result, gain"
σώματα,"body, flesh"
ἔμεινε(ν),"I remain, abide"
ἀγαπῶμεν,I love
στέφανον,"a crown, garland"
ἐσθίει,I eat
ἐπηρώτων,"I interrogate, question, demand of"
ἐξέχεε(ν),"I pour out, shed"
προσευχόμενοι,"I pray, pray for"
δοκεῖτε,"I think, seem, appear, it seems"
εὐχαριστῶ,"I thank, give thanks"
Βαρναβᾶς,Barnabas
ταχέως,"soon, quickly, hastily"
ὄντως,"really, truly"
ἔργῳ,"work, labor, action, deed"
ἐκείνην,"that, that one there, yonder"
σωθῆναι,"I save, heal"
ἀνέγνωτε,I read
ἰδίοις,"one's own, private, personal"
περιπατεῖν,"I walk, conduct my life"
χήρα,a widow
Μάρθα,Martha
Καισάρειαν,Caesarea
ἐξηράνθη,"I dry up, parch, ripen"
ἔχοντι,"I have, hold, possess"
καθίσας,"I set, make to sit"
κριτής,a judge
ἄφετε,"I send away, release, remit, forgive, permit"
ἀρχιερέων,"high priest, chief priest"
τάλαντα,a talent of silver or gold
ἀνέβησαν,"I go up, mount, ascend"
φόβῳ,"fear, terror, reverence"
βλέπεις,"I look, see"
σταυρόν,a cross
βλέπειν,"I look, see"
πρότερον,"former, before"
ὀργή,"anger, wrath, passion"
εὑρήσετε,I find
παραλαβών,"I take, receive"
λαλοῦμεν,"I speak, say"
συνέδριον,"a council, the Sanhedrin"
κρίνετε,"I judge, decide, think good"
λόγοι,"a word, speech, divine utterance, analogy"
ἐξελέξατο,"I choose, elect"
ναός,"a temple, shrine"
ἀπέκτειναν,"I put to death, kill"
ὀνόματα,"name, character, reputation"
γρηγορεῖτε,"I am awake, am vigilant, watch"
καύχημα,a boasting
χιλίαρχος,a military tribune
ἠκούσαμεν,"I hear, listen"
διδασκαλίᾳ,"instruction, teaching"
παραδιδούς,"I hand over, deliver, betray"
ἑώρακε(ν),"I see, look upon, experience"
ἔξελθε,"I go out, come out"
κἀκεῖθεν,"and thence, and from there"
γενεᾶς,a generation
ἐλπίς,"hope, expectation"
ἅμα,"at the same time, along with"
ἀγαθός,good
φανερόν,"apparent, clear, visible, manifest, clearly"
κώμας,a village
ἐφοβοῦντο,"I fear, am terrified"
κράτος,"dominion, strength, power"
τινάς,"any one, some one"
ἐκάλεσε(ν),"I call, invite, name"
ἀριθμός,"a number, total"
πόλεμον,"a war, battle, strife"
προσευχῇ,"prayer, a place for prayer"
ζητοῦντες,"I seek, search for, desire"
ἀμπελῶνος,a vineyard
λόγων,"a word, speech, divine utterance, analogy"
βαπτισθῆναι,"I dip, submerge, baptize"
αἵτινες,"whosoever, whichsoever, whatsoever"
ἐλαιῶν,an olive tree
στραφείς,"I turn, am converted, change"
μάρτυρες,a witness
σφραγῖδα,"a signet-ring, impression of a seal, the proof"
καινόν,"fresh, new"
ἔκραξε(ν),"I cry aloud, shriek"
φανερωθῇ,"I make clear, visible, or manifest"
ἐλεύσονται,"I come, go"
ἄλλῳ,"other, another, different"
ἅπαντες,"all, the whole"
εἰσέλθητε,"I go in, come in, enter"
καταβολῆς,"a foundation, depositing, sowing"
ἀπήγγειλε(ν),"I report, bring a report, announce"
ἴδια,"one's own, private, personal"
ἄνθρωπε,"a man, one of the human race"
ἐδίδου,"I offer, give"
δύνανται,"I am powerful, am able"
ἑορτήν,"a festival, feast"
κενόν,"empty, vain, hollow"
ἄξιον,"worthy, worthy of, deserving"
νυμφίος,a bridegroom
ἀρχιερέα,"high priest, chief priest"
Βαραββᾶν,Barabbas
ζητεῖ,"I seek, search for, desire"
τρία,three
πολλήν,"much, many, often"
θρόνῳ,"a throne, seat"
εἴδομεν,"I see, look upon, experience"
μετενόησαν,"I repent, change my mind"
θλίψει,"persecution, affliction, distress"
ἀσπάζονται,"I greet, salute, pay my respects to"
καθημένου,"I sit, am seated"
ἄρχοντες,"a ruler, prince, leader"
παράδοσιν,"an instruction, tradition"
ποιήσῃ,"I do, make"
εὐχαριστήσας,"I thank, give thanks"
βήματος,"the space covered by a step of the foot, a tribunal"
ἄνω,"up, above, things above, heaven"
κρίνων,"I judge, decide, think good"
δῶρον,"a gift, present"
χάριν,on account of
δυνάμεθα,"I am powerful, am able"
οἰκία,"a house, household"
ἀκούουσι(ν),"I hear, listen"
ταύτας,"this, he, she, it"
Ἐλισάβετ,Elisabeth
ἀνεχώρησε(ν),"I return, retire, depart, withdraw"
γινώσκομεν,"I come to know, learn, realize"
στρατιῶται,a soldier
τοιαῦτα,"of such a kind, such"
ἥξει,"I have come, am present"
ἀπελθόντες,"I come or go away from, depart, return"
δυνατόν,"powerful, able, possible"
ἔρχεσθαι,"I come, go"
ἐγήγερται,"I wake, arouse, raise up"
πιστεύσητε,"I believe, have faith in"
ἄλλην,"other, another, different"
ἐγείρονται,"I wake, arouse, raise up"
νοῦν,"the mind, reasoning faculty"
ἀγγέλῳ,"an angel, messenger"
πέμψαντος,I send
ἐξεπλήσσοντο,"I am thunderstruck, astounded"
Ἀδάμ,Adam
ἐμά,mine
ποίησον,"I do, make"
οὖσι(ν),"I am, exist"
βασιλέως,"a king, ruler, emperor"
ἐχόντων,"I have, hold, possess"
Φαρισαῖος,a Pharisee
σεισμός,"an earthquake, storm"
δωρεάν,"as a free gift, without payment, freely"
ἔστη,"I cause to stand, stand"
γραφάς,"a writing, passage of scripture, the scriptures"
συνήχθησαν,I gather together
δίκαιοι,"just, righteous, impartial"
εἰσέλθῃ,"I go in, come in, enter"
ἔσχατοι,"last, at the last, finally"
ἅπαντα,"all, the whole"
ὅμοιον,"like, similar to"
ἁμαρτίαις,a sin
ἐκείνων,"that, that one there, yonder"
σπλάγχνα,"bowels, compassion, pity"
θυσίας,a sacrifice
ἀπολέσει,"I destroy, lose, am perishing"
πλείους,"much, many, often"
ἀπέλυσε(ν),"I release, let go, send away, divorce"
σῖτον,"wheat, grain"
Καίσαρι,Caesar
Φίλιππον,Philip
ἔκραξαν,"I cry aloud, shriek"
ἐκκλησία,"an assembly, congregation, church"
ἀπώλειαν,"destruction, ruin, loss"
ἱκανόν,"sufficient, worthy, many, much"
περιπατεῖτε,"I walk, conduct my life"
μνημονεύετε,"I remember, make mention of"
ἁμαρτωλός,"sinning, sinful, a sinner"
μέλλων,I am about to
ἀγγέλοις,"an angel, messenger"
ἀγρούς,"a field, the country"
ἐντολῆς,"an ordinance, injunction, command"
προβάτων,a sheep
οὐδενί,"no one, none, nothing"
βασιλεῦ,"a king, ruler, emperor"
νεκρός,"dead, a corpse"
θεωρεῖ,"I behold, look at, experience"
μαρτύρων,a witness
ἐξελθεῖν,"I go out, come out"
γύναι,"a woman, wife, my lady"
ἀκροβυστία,foreskin
θλίψεως,"persecution, affliction, distress"
χερσί(ν),a hand
φωτί,"light, a source of light"
ἀγρῷ,"a field, the country"
ἐκείνῳ,"that, that one there, yonder"
δράκων,a dragon or huge serpent
κλαυθμός,"weeping, lamentation"
φόβου,"fear, terror, reverence"
βάλε,"I cast, throw, rush, put, place, drop"
πτωχοῖς,"poor, destitute"
παρουσίᾳ,"presence, a coming, arrival, advent"
μεταξύ,"meanwhile, afterwards, between"
νέον,"young, new, fresh"
παῖς,a boy or girl child
δεῦρο,"come, now, the present"
μακράν,"long, distant"
ἤλθομεν,"I come, go"
Σαούλ,Saul
εὐλόγησε(ν),I bless
ὄψονται,"I see, look upon, experience"
ταχύ,"quickly, speedily"
ὀργήν,"anger, wrath, passion"
ἔσω,"within, inside"
κατοικοῦντες,"I dwell in, settle in, inhabit"
κατοικοῦντας,"I dwell in, settle in, inhabit"
ζητῶν,"I seek, search for, desire"
ἑξήκοντα,sixty
ἐκείνη,"that, that one there, yonder"
ἴδωσι(ν),"I see, look upon, experience"
ἐξήλθατε,"I go out, come out"
ἔστησαν,"I cause to stand, stand"
ἐβλήθη,"I cast, throw, rush, put, place, drop"
ἤγαγε(ν),I lead
πολύν,"much, many, often"
ὑπηρέται,"a servant, an attendant"
Ἠσαΐου,Isaiah
πάσας,"all, the whole, every kind of"
δυσί(ν),two
δίδωμι,"I offer, give"
Ἰουδαίᾳ,Judea
ἔπεμψα,I send
διδάσκοντες,I teach
ἴδετε,"I see, look upon, experience"
περιτομή,circumcision
παρακαλῶν,"I summon, entreat, admonish, comfort"
ἐρωτῶ,"I ask, question, request"
ἀκάθαρτον,"unclean, impure"
γενήσεται,"I come into being, am born"
λίθος,a stone
ζήσεται,I live
ὑπομονῇ,"endurance, steadfastness"
μέτρον,"a measure, measuring rod"
ἀσκούς,a wine-skin
γεγονός,"I come into being, am born"
ζητοῦσι(ν),"I seek, search for, desire"
ἔβαλον,"I cast, throw, rush, put, place, drop"
ζῴων,an animal
δέξηται,"I take, receive, accept, welcome"
θέλῃ,"I will, wish, desire"
πίνων,"I drink, imbibe"
ἐκτός,"without, outside, except, the outside, apart from"
δέχεται,"I take, receive, accept, welcome"
νικῶν,"I conquer, overcome"
τάχει,"quickness, speed"
ἐθαύμασαν,"I wonder, admire"
καρπός,"fruit, result, gain"
ὁρᾶτε,"I see, look upon, experience"
σπέρματος,"seed, offspring"
πορεύομαι,"I travel, journey, go"
Νῶε,Noah
φίλος,"friendly, a friend"
Δαμασκῷ,Damascus
εἴρηκε(ν),"I say, speak"
τάξιν,"order, position, rank"
εἴπητε,"I say, speak"
ἔδωκαν,"I offer, give"
ἀκούσωσι(ν),"I hear, listen"
Ἔφεσον,Ephesus
δρέπανον,a sickle
δύνασθαι,"I am powerful, am able"
τελῶναι,a collector of taxes
πέμψαι,I send
ἐκείνοις,"that, that one there, yonder"
ἐλάλησα,"I speak, say"
θεμέλιον,belonging to the foundation
τεκνία,a little child
ἀσθενείας,"want of strength, weakness, illness"
μιᾶς,one
λέγεται,"I say, speak"
τάδε,"this here, this"
κρίνει,"I judge, decide, think good"
ᾔδεισαν,"I know, remember"
χίλια,a thousand
Σαμαρείας,Samaria
λήμψεται,"I receive, take"
ὑπάρχοντα,"I am, exist, am in possession"
βαλεῖν,"I cast, throw, rush, put, place, drop"
δίκτυα,a fishing-net
ζῷα,an animal
χαίρω,"I rejoice, am glad"
ἑστῶτα,"I cause to stand, stand"
ἄνεμος,the wind
κέρατα,a horn
ὀφθαλμῷ,the eye
ἀργύρια,"silver, a shekel, money in general"
συναγωγάς,"an assembly, congregation, synagogue"
ὁδούς,"a way, road, journey"
ἱματίου,outer garment
κατέναντι,"opposite, in front of"
ἀκούσῃ,"I hear, listen"
ἀργύριον,"silver, a shekel, money in general"
προσῆλθε(ν),"I come near, consent to"
ἔγραψε(ν),I write
εὑρήσει,I find
πιεῖν,"I drink, imbibe"
ἥμαρτον,I sin
κρυπτῷ,"hidden, secret"
ξύλου,"a staff, cross, anything made of wood"
σκεύη,"a vessel to contain liquid, utensil, tackle"
ὅλη,"all, the whole, entire"
ἐποιήσατε,"I do, make"
ἠρώτησαν,"I ask, question, request"
λέγοντας,"I say, speak"
ζῆλος,"eagerness, zeal, rivalry"
λάβῃ,"I receive, take"
ἀρξάμενος,"I reign, rule"
οὐδενός,"no one, none, nothing"
κοινόν,"common, shared, unclean"
εἰρήνῃ,"peace, peace of mind"
ἐνθάδε,"here, in this place"
γαστρί,"the womb, stomach, to be pregnant"
ἐλήλυθε(ν),"I come, go"
ἑκατοντάρχης,a centurion
θύρας,"a door, opportunity"
κάτω,"down, below, lower, under, less"
πάντως,"entirely, in every way, certainly"
ἦμεν,"I am, exist"
Ἁνανίας,Ananias
παντοκράτωρ,ruler of the universe
ἔνοχος,"involved in, liable"
παρεκάλουν,"I summon, entreat, admonish, comfort"
καθημένῳ,"I sit, am seated"
μεγάλα,"large, great"
Σαδδουκαίων,a Sadducee
κράβαττον,"a bed, mattress, mat"
πολλῇ,"much, many, often"
ῥίζαν,"a root, that which comes from the root"
ἀποκριθέντες,"I answer, reply"
Αἰγύπτου,Egypt
ὀκτώ,eight
εἶδες,"I see, look upon, experience"
πτωχούς,"poor, destitute"
πονηρός,"evil, bad, wicked"
μέντοι,"indeed, yet, however"
κατάπαυσιν,"resting, rest"
ἐνιαυτόν,a year
ἐσθίουσι(ν),I eat
κύκλῳ,around
Ἰούδαν,"Judah, Judas, Jude"
οὐδεμίαν,"no one, none, nothing"
ἀποκτείνωσι(ν),"I put to death, kill"
μέσου,"middle, in the middle"
αἰῶνι,"an age, a cycle of time"
ἠρνήσατο,"I deny, repudiate"
χώρας,"region, land, fields"
ἐρῶ,"I say, speak"
τέκνοις,"a child, descendent, inhabitant"
γνώσει,"knowledge, doctrine, wisdom"
γόνατα,a knee
γέενναν,Gehenna
φίλους,"friendly, a friend"
δῶρα,"a gift, present"
μηδένα,"no one, nothing"
ἀπολύσω,"I release, let go, send away, divorce"
κακοῦ,"bad, evil"
ἀγαθήν,good
ὑπομονῆς,"endurance, steadfastness"
χάρισμα,an undeserved favor
ὁδοῦ,"a way, road, journey"
Μελχισέδεκ,Melchizedek
οἰκουμένην,the inhabited (Roman) world
Σαῦλος,"Saul, the apostle"
ἀγαπᾶν,I love
κτίσεως,"creation, creature, institution"
Μωϋσεῖ,Moses
ἐσχάτῃ,"last, at the last, finally"
ἄρχων,"a ruler, prince, leader"
γένησθε,"I come into being, am born"
σκάνδαλον,"a snare, stumbling-block"
μελλόντων,I am about to
αἴρει,"I raise, lift up"
ἔδωκας,"I offer, give"
διδαχήν,"teaching, doctrine"
δευτέρου,"second, in the second place, for the second time"
Βαρναβᾶν,Barnabas
κρίσις,"judging, divine judgment"
μάρτυς,a witness
ἀδελφή,a sister
ἔργου,"work, labor, action, deed"
ἀγαθοῦ,good
Λάζαρος,"Lazarus, Eliezer"
ψυχῇ,"the soul, life, self"
ἤθελον,"I will, wish, desire"
Βηθλέεμ,Bethlehem
ἅγιοι,"set apart, holy, sacred"
παραλαμβάνει,"I take, receive"
ἠθέλησε(ν),"I will, wish, desire"
Καίσαρα,Caesar
ἀρνίον,a lamb
ἄπιστος,"unbelieving, incredulous, unchristian, unbeliever"
πορευθείς,"I travel, journey, go"
